Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BE,2019,exante,5,0.696,1.89,"Local,European Union",,Unknown,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
BE,2019,exante,9,0.93,8.6,Local,,Low,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Manager,Technician,Elementary",,Male
BE,2019,exante,10,0.87,7.98,Local,,Low,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Manager,Technician,Elementary",,Female
BE,2019,exante,11,0.781,2.17,European Union,,Low,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Manager,Technician,Elementary",,
BE,2019,exante,12,0.994,7.0,"Local,European Union",,Low,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary","Professional,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Armed Forces",,
BE,2019,exante,13,1.02,14.51,"Local,European Union",,"Unknown,Low","Manager,Professional,Technician,Clerical,Service,Armed Forces",,,
BE,2019,exante,15,0.605,8.45,Other,,"Unknown,Low",,"Dead/Unknown/Not Working,Agriculture,Craft/Trades",,
BE,2019,exante,16,0.753,1.59,Other,,"Unknown,Low",,"Manager,Professional,Technician,Clerical,Service,Plant Operator,Elementary",,
BE,2019,exante,20,1.039,18.95,"Local,European Union","Unknown,Low,Medium",Medium,,,,
BE,2019,exante,22,0.993,2.28,"Local,European Union","Unknown,Low",High,,,,
BE,2019,exante,23,1.181,4.27,"Local,European Union",Medium,High,,,,
BE,2019,exante,24,0.797,1.28,Other,"Unknown,Low,Medium","Medium,High",,,,
BE,2019,exante,27,1.202,15.05,"Local,European Union",High,"Medium,High","Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
BE,2019,exante,28,1.39,4.42,"Local,European Union",High,"Medium,High",Manager,,,
BE,2019,exante,29,0.985,1.56,Other,High,"Medium,High",,,,
