Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BG,2019,exante,5,0.72,3.42,,"Unknown,Low","Unknown,Medium,High",,"Dead/Unknown/Not Working,Agriculture,Elementary",,
BG,2019,exante,8,0.477,4.31,,"Unknown,Low",Low,"Dead/Unknown/Not Working,Professional,Technician,Agriculture,Craft/Trades,Elementary",Dead/Unknown/Not Working,,
BG,2019,exante,9,0.574,18.58,,"Unknown,Low",Low,"Dead/Unknown/Not Working,Professional,Technician,Agriculture,Craft/Trades,Elementary","Agriculture,Elementary",,
BG,2019,exante,10,0.709,2.48,,"Unknown,Low",Low,"Manager,Clerical,Service,Plant Operator,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
BG,2019,exante,12,0.816,9.15,,Medium,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Agriculture,Elementary",,
BG,2019,exante,13,1.081,1.02,,Medium,,"Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
BG,2019,exante,16,1.289,9.45,,"Unknown,Low,Medium",,"Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Armed Forces","Manager,Professional,Technician,Clerical",,
BG,2019,exante,17,1.031,7.49,,"Unknown,Low,Medium",,"Manager,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
BG,2019,exante,20,0.945,1.28,,"Unknown,Low,Medium",Low,"Dead/Unknown/Not Working,Professional,Technician,Clerical,Service","Service,Craft/Trades,Plant Operator,Armed Forces",,
BG,2019,exante,21,0.751,6.26,,"Unknown,Low,Medium",Low,"Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Service,Craft/Trades,Plant Operator,Armed Forces",,
BG,2019,exante,22,0.921,26.23,,"Unknown,Low,Medium","Medium,High",,"Service,Craft/Trades,Plant Operator,Armed Forces",,
BG,2019,exante,23,1.997,10.32,,High,,,,,
