Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BOL,2008,exante,6,0.732,1.88,Rural,,"Never Attended,Tertiary","Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers",,"Quechua,Aymara,Guarany",
BOL,2008,exante,7,0.408,27.19,Rural,,"Never Attended,Tertiary","Agricultural, Forestry And Fishery Workers,Elementary Occupations",,"Quechua,Aymara,Guarany",
BOL,2008,exante,8,0.696,5.12,Rural,,"Never Attended,Tertiary","Armed Forces,Clerks,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,"Chiquitano,Mojeno,Other,Non Indigenous",
BOL,2008,exante,10,0.546,7.58,Rural,,"Primary Or Adult Basic Education,Secondary","Armed Forces,Clerks,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed","Armed Forces,Agricultural, Forestry And Fishery Workers",,
BOL,2008,exante,11,0.879,3.48,Rural,,"Primary Or Adult Basic Education,Secondary","Armed Forces,Clerks,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed","Technicians And Associate Professionals,Services And Sales Workers,Craft And Trade Workers,Elementary Occupations,Unemployed",,
BOL,2008,exante,14,1.139,22.94,Urban,,"Never Attended,Primary Or Adult Basic Education","Armed Forces,Clerks,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,"Quechua,Mojeno,Non Indigenous",
BOL,2008,exante,15,1.642,9.32,Urban,,"Secondary,Tertiary","Armed Forces,Clerks,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,"Quechua,Mojeno,Non Indigenous",
BOL,2008,exante,16,0.811,12.13,Urban,,,"Armed Forces,Clerks,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,"Aymara,Guarany,Chiquitano,Other",
BOL,2008,exante,18,2.715,4.05,,,,"Managers,Professionals,Technicians And Associate Professionals","Armed Forces,Managers,Professionals,Clerks",,
BOL,2008,exante,19,1.876,6.31,,,,"Managers,Professionals,Technicians And Associate Professionals","Technicians And Associate Professionals,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Elementary Occupations,Unemployed",,
