Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BRA,2014,exante,7,0.687,1.95,"Rondonia,Acre,Amazonas,Para,Amapa,Tocantins,Maranhao,Piaui,Ceara,Rio Grande Do Norte,Paraiba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Mato Grosso","1 Years Of Education,2 Years Of Education,3 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education","Armed Forces,Managers,Technicians And Associate Professionals,Clerks,Plant And Machine Opperators And Assemblers",,,
BRA,2014,exante,10,0.597,1.6,"Rondonia,Acre,Tocantins,Maranhao,Ceara,Alagoas,Sergipe,Minas Gerais,Mato Grosso",1 Years Of Education,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education","Services And Sales Workers,Craft And Trade Workers,Elementary Occupations",,,
BRA,2014,exante,11,0.474,1.88,"Amazonas,Para,Amapa,Piaui,Rio Grande Do Norte,Paraiba,Pernambuco,Bahia",1 Years Of Education,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education","Services And Sales Workers,Craft And Trade Workers,Elementary Occupations",,,
BRA,2014,exante,12,0.659,2.47,"Rondonia,Acre,Amazonas,Para,Amapa,Tocantins,Maranhao,Piaui,Ceara,Rio Grande Do Norte,Paraiba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Mato Grosso","2 Years Of Education,3 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education","Services And Sales Workers,Craft And Trade Workers,Elementary Occupations",,,
BRA,2014,exante,16,0.404,1.5,"Rondonia,Acre,Amazonas,Para,Amapa,Tocantins,Maranhao,Piaui,Ceara,Rio Grande Do Norte,Paraiba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Mato Grosso","1 Years Of Education,2 Years Of Education,3 Years Of Education","1 Years Of Education,3 Years Of Education,9 Years Of Education,10 Years Of Education","Professionals,Agricultural, Forestry And Fishery Workers,Unemployed","2,3,4,6","White,Other",
BRA,2014,exante,17,0.497,1.71,"Rondonia,Acre,Amazonas,Para,Amapa,Tocantins,Maranhao,Piaui,Ceara,Rio Grande Do Norte,Paraiba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Mato Grosso","1 Years Of Education,2 Years Of Education,3 Years Of Education","1 Years Of Education,3 Years Of Education,9 Years Of Education,10 Years Of Education","Professionals,Agricultural, Forestry And Fishery Workers,Unemployed","5,7,8,10","White,Other",
BRA,2014,exante,19,0.445,1.76,"Rondonia,Amapa,Tocantins,Minas Gerais,Mato Grosso","1 Years Of Education,2 Years Of Education,3 Years Of Education","1 Years Of Education,3 Years Of Education,9 Years Of Education,10 Years Of Education","Professionals,Agricultural, Forestry And Fishery Workers,Unemployed",,"Mix-Race,Indigenous,Afro-Descendant",
BRA,2014,exante,20,0.369,7.84,"Acre,Amazonas,Para,Maranhao,Piaui,Ceara,Rio Grande Do Norte,Paraiba,Pernambuco,Alagoas,Sergipe,Bahia","1 Years Of Education,2 Years Of Education,3 Years Of Education","1 Years Of Education,3 Years Of Education,9 Years Of Education,10 Years Of Education","Professionals,Agricultural, Forestry And Fishery Workers,Unemployed",,"Mix-Race,Indigenous,Afro-Descendant",
BRA,2014,exante,22,0.561,2.67,"Rondonia,Acre,Amazonas,Para,Amapa,Tocantins,Maranhao,Piaui,Ceara,Rio Grande Do Norte,Paraiba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Mato Grosso","1 Years Of Education,2 Years Of Education,3 Years Of Education","2 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education","Professionals,Agricultural, Forestry And Fishery Workers,Unemployed","1,2,3,5,7,9,10",,
BRA,2014,exante,24,0.475,1.05,"Rondonia,Acre,Amapa,Tocantins,Ceara,Rio Grande Do Norte,Pernambuco,Alagoas,Minas Gerais,Mato Grosso","1 Years Of Education,2 Years Of Education,3 Years Of Education","2 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education","Professionals,Agricultural, Forestry And Fishery Workers,Unemployed","4,6,8",,
BRA,2014,exante,25,0.369,1.15,"Amazonas,Para,Maranhao,Piaui,Paraiba,Sergipe,Bahia","1 Years Of Education,2 Years Of Education,3 Years Of Education","2 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education","Professionals,Agricultural, Forestry And Fishery Workers,Unemployed","4,6,8",,
BRA,2014,exante,28,0.686,1.92,"Roraima,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Goias,Distrito Federal,Other Country","1 Years Of Education,2 Years Of Education,3 Years Of Education",,"Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations",,,
BRA,2014,exante,30,0.612,2.53,"Roraima,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Goias,Distrito Federal,Other Country","1 Years Of Education,2 Years Of Education,3 Years Of Education",,"Clerks,Agricultural, Forestry And Fishery Workers,Unemployed",,"White,Other",
BRA,2014,exante,31,0.492,1.67,"Roraima,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Goias,Distrito Federal,Other Country","1 Years Of Education,2 Years Of Education,3 Years Of Education",,"Clerks,Agricultural, Forestry And Fishery Workers,Unemployed",,"Mix-Race,Indigenous,Afro-Descendant",
BRA,2014,exante,34,0.915,1.72,"Roraima,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Goias,Distrito Federal,Other Country","1 Years Of Education,2 Years Of Education,3 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education",,"1,3,4,6,7,8,9","White,Other",
BRA,2014,exante,36,0.894,1.09,"Roraima,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Goias,Distrito Federal,Other Country","1 Years Of Education,2 Years Of Education,3 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education","Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Services And Sales Workers,Plant And Machine Opperators And Assemblers","2,5,10","White,Other",
BRA,2014,exante,37,0.777,2.39,"Roraima,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Goias,Distrito Federal,Other Country","1 Years Of Education,2 Years Of Education,3 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education","Clerks,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Elementary Occupations,Unemployed","2,5,10","White,Other",
BRA,2014,exante,38,0.671,2.71,"Roraima,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Goias,Distrito Federal,Other Country","1 Years Of Education,2 Years Of Education,3 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education",,,"Mix-Race,Indigenous,Afro-Descendant",
BRA,2014,exante,41,1.318,2.51,"Rondonia,Minas Gerais,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,12 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education","Armed Forces,Managers,Technicians And Associate Professionals,Clerks",,,
BRA,2014,exante,45,0.901,1.21,"Rondonia,Minas Gerais,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,12 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education","Professionals,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed","1,3,4,5,6,7,8","White,Indigenous,Other",
