Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHI,2010,exante,4,1.266,12.79,"Hebei,Shanxi,Liaoning,Jilin,Heilongjiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Guangdong,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Yunnan,Shaanxi,Gansu",,"Illiterate/Semi-Literate,Primary School,Junior High School",,"Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2010,exante,5,1.66,1.59,"Hebei,Shanxi,Liaoning,Jilin,Heilongjiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Guangdong,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Yunnan,Shaanxi,Gansu",,"Senior High School/Secondary School/Technical School/Vocational Senior School,3-Year College,4-Year College/Bachelor's Degree",,"Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2010,exante,9,0.702,26.16,"Hebei,Shanxi,Henan,Sichuan,Yunnan",,,,"Agricultural, Forestry And Fishery Workers","Han,Hui,Zhuang,Other",
CHI,2010,exante,10,0.505,2.58,"Hebei,Shanxi,Henan,Sichuan,Yunnan",,,,"Agricultural, Forestry And Fishery Workers","Mongol,Tibetan,Miao,Yi,Bouyei,Manchu",
CHI,2010,exante,11,0.651,14.33,"Guizhou,Gansu",,,,"Agricultural, Forestry And Fishery Workers",,
CHI,2010,exante,12,0.945,26.59,"Liaoning,Jilin,Heilongjiang,Anhui,Fujian,Jiangxi,Shandong,Hubei,Guangdong,Guangxi Zhuang Autonomous Region,Shaanxi",,,,"Agricultural, Forestry And Fishery Workers",,
CHI,2010,exante,15,1.603,4.68,"Shanghai,Zhejiang",,,,"Armed Forces,Agricultural, Forestry And Fishery Workers",,
CHI,2010,exante,16,1.266,4.96,"Jiangsu,Hunan,Other",,,,"Armed Forces,Agricultural, Forestry And Fishery Workers",,
CHI,2010,exante,18,2.001,4.99,"Shanghai,Jiangsu,Zhejiang,Hunan,Other","Illiterate/Semi-Literate,Primary School,Junior High School",,,"Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2010,exante,19,2.986,1.34,"Shanghai,Jiangsu,Zhejiang,Hunan,Other","Senior High School/Secondary School/Technical School/Vocational Senior School,3-Year College,4-Year College/Bachelor's Degree,Doctoral Degree",,,"Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
