Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHL,2006,exante,8,0.553,1.67,"Tarapca,Libertador","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education",,,"Aymara,Quechua,Atacameno,Coya,Diaguita,Other",Female
CHL,2006,exante,9,0.6,1.31,"Tarapca,Libertador","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education",,,"Aymara,Quechua,Atacameno,Coya,Diaguita,Other",Male
CHL,2006,exante,10,0.581,10.59,"Valparaiso,Maule,Biobio","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education",,,"Aymara,Quechua,Atacameno,Coya,Diaguita,Other",
CHL,2006,exante,12,0.496,6.21,"Antofagasta,Araucania,Los Lagos,Aisen","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education",,,"Aymara,Quechua,Atacameno,Coya,Diaguita,Other",Female
CHL,2006,exante,13,0.545,5.04,"Antofagasta,Araucania,Los Lagos,Aisen","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education",,,"Aymara,Quechua,Atacameno,Coya,Diaguita,Other",Male
CHL,2006,exante,15,0.715,4.53,"Tarapca,Antofagasta,Valparaiso,Aisen","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","8 Years Of Education,12 Years Of Education,14 Years Of Education,15 Years Of Education",,,"Aymara,Quechua,Atacameno,Coya,Diaguita,Other",
CHL,2006,exante,19,0.693,4.56,"Libertador,Maule","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","8 Years Of Education,14 Years Of Education",,,"Aymara,Quechua,Atacameno,Coya,Diaguita,Other",Female
CHL,2006,exante,20,0.65,7.6,"Biobio,Araucania,Los Lagos","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","8 Years Of Education,14 Years Of Education",,,"Aymara,Quechua,Atacameno,Coya,Diaguita,Other",Female
CHL,2006,exante,21,0.727,9.21,"Libertador,Maule,Biobio,Araucania,Los Lagos","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","8 Years Of Education,14 Years Of Education",,,"Aymara,Quechua,Atacameno,Coya,Diaguita,Other",Male
CHL,2006,exante,22,0.779,1.56,"Libertador,Maule,Biobio,Araucania,Los Lagos","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","12 Years Of Education,15 Years Of Education",,,"Aymara,Quechua,Atacameno,Coya,Diaguita,Other",
CHL,2006,exante,24,0.562,1.75,"Tarapca,Antofagasta,Valparaiso,Libertador,Maule,Biobio,Araucania,Aisen","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,"Mapuche,Kawaskar,Yagan",
CHL,2006,exante,26,0.471,2.13,Los Lagos,"2 Years Of Education,4 Years Of Education",,,,"Mapuche,Kawaskar,Yagan",
CHL,2006,exante,27,0.487,1.41,Los Lagos,8 Years Of Education,,,,"Mapuche,Kawaskar,Yagan",
CHL,2006,exante,33,0.9,1.03,"Atacama,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,8 Years Of Education,15 Years Of Education",,,"Aymara,Rapa Nui,Atacameno,Coya,Yagan,Diaguita,Other",Female
