Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CY,2019,exante,5,0.826,38.64,Local,"Unknown,Low","Unknown,Low,Medium",,"Dead/Unknown/Not Working,Technician,Service,Agriculture,Plant Operator,Elementary",,
CY,2019,exante,6,0.662,9.17,"European Union,Other","Unknown,Low","Unknown,Low,Medium",,"Dead/Unknown/Not Working,Technician,Service,Agriculture,Plant Operator,Elementary",,
CY,2019,exante,7,1.034,2.48,,"Unknown,Low","Unknown,Low,Medium",,"Professional,Clerical,Craft/Trades",,
CY,2019,exante,12,0.971,6.85,Local,Medium,"Unknown,Low",,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,exante,13,1.098,14.43,Local,Medium,Medium,,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,exante,15,1.025,1.0,Local,High,"Unknown,Low,Medium","Dead/Unknown/Not Working,Clerical,Service,Craft/Trades","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,exante,16,1.356,3.23,Local,High,"Unknown,Low,Medium","Manager,Professional,Technician,Agriculture,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,exante,18,1.845,1.16,Local,"Medium,High","Unknown,Low,Medium","Manager,Technician,Agriculture,Armed Forces","Manager,Professional,Technician",,
CY,2019,exante,19,1.239,1.65,Local,"Medium,High","Unknown,Low,Medium","Professional,Clerical,Service,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician",,
CY,2019,exante,21,0.727,5.62,"European Union,Other",Medium,"Unknown,Low,Medium",,,,
CY,2019,exante,22,0.898,1.43,"European Union,Other",High,"Unknown,Low,Medium",,,,
CY,2019,exante,25,1.381,6.56,"Local,European Union",,High,"Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
CY,2019,exante,26,0.75,1.23,Other,,High,"Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
CY,2019,exante,27,1.853,6.53,,,High,"Manager,Professional",,,
