Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
DE,2005,exante,6,0.784,6.5,,"Unknown,Medium",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Craft/Trades,Plant Operator,Elementary",,Male
DE,2005,exante,7,0.896,12.0,,"Unknown,Medium",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical,Service,Agriculture",,Male
DE,2005,exante,10,0.658,3.83,,"Unknown,Medium","Unknown,Medium","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,Female
DE,2005,exante,11,0.784,13.21,,,"Unknown,Medium","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,Female
DE,2005,exante,12,0.85,7.07,,"Unknown,Medium",High,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,Female
DE,2005,exante,14,1.056,12.97,,"Unknown,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces",,,Male
DE,2005,exante,15,0.908,15.72,,"Unknown,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces",,,Female
DE,2005,exante,18,0.922,7.53,,"Low,High",,"Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
DE,2005,exante,20,0.984,1.15,,"Low,High",Medium,"Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Clerical",,
DE,2005,exante,21,1.155,3.66,,"Low,High",High,"Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Clerical",,
DE,2005,exante,22,1.361,3.69,,"Low,High",,"Professional,Technician,Clerical",,,
DE,2005,exante,24,1.782,6.85,,,,"Manager,Professional",,,
DE,2005,exante,27,1.643,1.55,,,Medium,"Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Agriculture",,
DE,2005,exante,28,1.462,1.31,,,High,"Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Agriculture",,
DE,2005,exante,30,1.394,1.49,,,,"Technician,Clerical","Clerical,Service,Craft/Trades,Plant Operator,Elementary",,
DE,2005,exante,31,1.076,1.45,,,,"Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Clerical,Service,Craft/Trades,Plant Operator,Elementary",,
