Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
DK,2005,exante,5,2.08,2.71,,"Medium,High",Medium,"Manager,Professional,Technician,Armed Forces","Manager,Professional,Technician,Clerical,Service",,
DK,2005,exante,6,1.721,5.95,,"Medium,High",Medium,"Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical,Service",,
DK,2005,exante,7,1.549,2.9,,"Medium,High",Medium,,"Agriculture,Craft/Trades,Plant Operator,Elementary",,
DK,2005,exante,8,2.565,8.0,,,Medium,,,,
DK,2005,exante,11,0.825,46.05,,Low,High,,,,
DK,2005,exante,15,0.994,5.43,,High,High,"Manager,Professional,Technician,Clerical,Service,Craft/Trades","Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
DK,2005,exante,16,1.445,3.57,,High,High,"Manager,Professional,Technician,Clerical,Service,Craft/Trades","Professional,Technician,Clerical",,
DK,2005,exante,17,0.902,2.71,,High,,"Manager,Professional,Technician,Clerical,Service,Craft/Trades",,,
DK,2005,exante,19,0.768,6.71,,High,High,"Agriculture,Plant Operator,Elementary,Armed Forces","Manager,Professional,Agriculture,Elementary",,
DK,2005,exante,20,0.895,9.76,,High,High,"Agriculture,Plant Operator,Elementary,Armed Forces","Technician,Clerical,Service,Craft/Trades,Plant Operator",,
DK,2005,exante,21,1.436,6.19,,Medium,High,,,,
