Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ECU,2006,exante,8,0.481,6.43,"North,Litoral","1 Years Of Education,2 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Unemployed,Self-Employed,Labourer,Domestic Service,Other",,"White,Mix-Race",
ECU,2006,exante,10,0.333,1.35,"North,Litoral","1 Years Of Education,2 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Unemployed,Self-Employed,Labourer,Domestic Service,Other","Unemployed,Employee","Indigenous,Afro-Descendant",
ECU,2006,exante,11,0.37,2.94,"North,Litoral","1 Years Of Education,2 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Unemployed,Self-Employed,Labourer,Domestic Service,Other","Self-Employed,Labourer,Domestic Service,Other","Indigenous,Afro-Descendant",
ECU,2006,exante,12,0.308,2.91,Center,"1 Years Of Education,2 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Unemployed,Self-Employed,Labourer,Domestic Service,Other",,,
ECU,2006,exante,15,0.559,10.37,South,"1 Years Of Education,2 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Unemployed,Self-Employed,Labourer,Domestic Service,Other","Unemployed,Labourer,Other","White,Mix-Race,Afro-Descendant",
ECU,2006,exante,16,0.409,2.93,South,"1 Years Of Education,2 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Unemployed,Self-Employed,Labourer,Domestic Service,Other","Unemployed,Labourer,Other",Indigenous,
ECU,2006,exante,17,0.686,1.88,South,"1 Years Of Education,2 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Unemployed,Self-Employed,Labourer,Domestic Service,Other","Employer,Self-Employed,Employee,Domestic Service",,
ECU,2006,exante,18,0.808,1.68,,"1 Years Of Education,2 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Employer,Employee",,,
ECU,2006,exante,22,0.482,3.33,"North,Center,Litoral","3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Unemployed,Labourer,Domestic Service,Other","Unemployed,Other",,
ECU,2006,exante,23,0.628,2.12,"North,Center,Litoral","3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Unemployed,Labourer,Domestic Service,Other","Employer,Self-Employed,Labourer,Employee,Domestic Service",,
ECU,2006,exante,25,0.614,2.84,South,"3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,11 Years Of Education",,"Unemployed,Labourer,Domestic Service,Other",,,
ECU,2006,exante,26,0.807,5.69,South,"3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Unemployed,Labourer,Domestic Service,Other",,,
ECU,2006,exante,29,0.832,2.38,"North,Center,Litoral","3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Employer,Self-Employed,Employee","Unemployed,Employer,Self-Employed,Employee,Domestic Service",,
ECU,2006,exante,30,0.927,5.83,South,"3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Employer,Self-Employed,Employee","Unemployed,Employer,Self-Employed,Employee,Domestic Service",,
ECU,2006,exante,31,0.694,1.7,,"3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","Employer,Self-Employed,Employee","Labourer,Other",,
ECU,2006,exante,34,0.923,9.14,"North,South","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,11 Years Of Education","6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","Unemployed,Labourer,Domestic Service,Other",,,
ECU,2006,exante,36,0.499,1.1,Center,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,11 Years Of Education","6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","Unemployed,Labourer,Domestic Service,Other",,,
ECU,2006,exante,37,0.743,1.82,Litoral,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,11 Years Of Education","6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","Unemployed,Labourer,Domestic Service,Other",,,
ECU,2006,exante,40,1.156,14.24,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,11 Years Of Education","6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","Employer,Self-Employed,Employee","Unemployed,Self-Employed",,
ECU,2006,exante,42,1.273,1.01,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,11 Years Of Education","6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","Employer,Self-Employed","Employer,Employee",,
ECU,2006,exante,43,1.273,1.19,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,11 Years Of Education","6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education",Employee,"Employer,Employee",,
ECU,2006,exante,44,0.913,2.01,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,11 Years Of Education","6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","Employer,Self-Employed,Employee","Labourer,Domestic Service,Other",,
ECU,2006,exante,47,0.899,1.05,,"9 Years Of Education,10 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,7 Years Of Education",,,,
ECU,2006,exante,49,1.484,5.1,,"9 Years Of Education,10 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","4 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,White,
ECU,2006,exante,50,1.414,1.0,,"9 Years Of Education,10 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","4 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,"Mix-Race,Indigenous,Afro-Descendant,Other",
ECU,2006,exante,53,2.166,2.95,,"9 Years Of Education,10 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education","12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","Unemployed,Employer,Labourer,Employee",,,
ECU,2006,exante,54,1.8,1.48,,"9 Years Of Education,10 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education","12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","Self-Employed,Domestic Service,Other",,,
ECU,2006,exante,56,3.426,1.32,,15 Years Of Education,"12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","Unemployed,Employer,Self-Employed,Labourer",,,
ECU,2006,exante,58,2.648,1.04,,15 Years Of Education,"12 Years Of Education,13 Years Of Education,14 Years Of Education",Employee,,,
ECU,2006,exante,59,3.02,1.19,,15 Years Of Education,15 Years Of Education,Employee,,,
