Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ECU,2014,exante,6,0.614,16.22,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education","1 Years Of Education,2 Years Of Education,5 Years Of Education","Unemployed,Labourer",,"White,Mix-Race",
ECU,2014,exante,9,0.607,1.37,,1 Years Of Education,"3 Years Of Education,4 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Unemployed,Labourer","Unemployed,Domestic Service","White,Mix-Race",
ECU,2014,exante,10,0.732,3.75,,"2 Years Of Education,3 Years Of Education,4 Years Of Education","3 Years Of Education,4 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Unemployed,Labourer","Unemployed,Domestic Service","White,Mix-Race",
ECU,2014,exante,11,0.848,1.9,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education","3 Years Of Education,4 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Unemployed,Labourer","Employer,Self-Employed,Labourer,Employee,Other","White,Mix-Race",
ECU,2014,exante,14,0.872,1.66,,"1 Years Of Education,2 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Employer,Employee",,"White,Mix-Race",
ECU,2014,exante,16,0.646,2.21,,"1 Years Of Education,2 Years Of Education","3 Years Of Education,7 Years Of Education,8 Years Of Education","Self-Employed,Domestic Service,Other",,"White,Mix-Race",
ECU,2014,exante,17,0.784,1.19,,"1 Years Of Education,2 Years Of Education","1 Years Of Education,2 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education","Self-Employed,Domestic Service,Other",,"White,Mix-Race",
ECU,2014,exante,18,0.891,4.41,,"3 Years Of Education,4 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Employer,Self-Employed,Employee,Domestic Service,Other",,"White,Mix-Race",
ECU,2014,exante,21,0.563,1.64,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Unemployed,Employer,Self-Employed,Employee,Domestic Service,Other",,"Indigenous,Afro-Descendant,Other",Female
ECU,2014,exante,22,0.663,1.6,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Unemployed,Employer,Self-Employed,Employee,Domestic Service,Other",,"Indigenous,Afro-Descendant,Other",Male
ECU,2014,exante,26,0.462,2.45,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education",1 Years Of Education,Labourer,"Unemployed,Employer,Self-Employed,Employee,Domestic Service,Other","Indigenous,Afro-Descendant,Other",Female
ECU,2014,exante,27,0.516,2.34,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education",1 Years Of Education,Labourer,"Unemployed,Employer,Self-Employed,Employee,Domestic Service,Other","Indigenous,Afro-Descendant,Other",Male
ECU,2014,exante,28,0.604,1.62,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education","2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education",Labourer,"Unemployed,Employer,Self-Employed,Employee,Domestic Service,Other","Indigenous,Afro-Descendant,Other",
ECU,2014,exante,29,0.482,5.33,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education",Labourer,Labourer,"Indigenous,Afro-Descendant,Other",
ECU,2014,exante,35,0.818,1.72,,"5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education",1 Years Of Education,"Unemployed,Self-Employed,Employee",,"White,Mix-Race,Other",
ECU,2014,exante,36,0.975,1.83,,"5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","2 Years Of Education,3 Years Of Education","Unemployed,Self-Employed,Employee",,"White,Mix-Race,Other",
ECU,2014,exante,39,1.082,8.56,,"5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Unemployed,Self-Employed,Employee","Unemployed,Labourer,Domestic Service,Other","White,Mix-Race,Other",
ECU,2014,exante,40,1.319,1.68,,"8 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Unemployed,Self-Employed,Employee","Unemployed,Labourer,Domestic Service,Other","White,Mix-Race,Other",
ECU,2014,exante,42,1.295,1.26,,"5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Unemployed,Self-Employed,Employee","Employer,Employee","White,Mix-Race,Other",
ECU,2014,exante,43,1.143,2.79,,"5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","Unemployed,Self-Employed,Employee",Self-Employed,"White,Mix-Race,Other",
