Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
EL,2005,exante,5,0.933,31.29,,"Unknown,Low,Medium","Unknown,Low,Medium","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",,
EL,2005,exante,6,1.073,2.89,,High,"Unknown,Low,Medium","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",,
EL,2005,exante,8,1.189,6.32,Local,,High,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",,
EL,2005,exante,9,0.726,1.48,"European Union,Other",,High,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",,
EL,2005,exante,12,0.891,18.44,"Local,European Union","Unknown,Medium,High",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Agriculture,Elementary",,
EL,2005,exante,13,0.717,1.52,Other,"Unknown,Medium,High",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Agriculture,Elementary",,
EL,2005,exante,14,0.755,17.69,,Low,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Agriculture,Elementary",,
EL,2005,exante,17,1.185,7.99,,,"Unknown,Medium","Manager,Professional,Technician,Clerical",,,
EL,2005,exante,18,0.943,3.17,,,Low,"Manager,Professional,Technician,Clerical",,,
EL,2005,exante,21,1.358,3.95,Local,,High,"Manager,Professional,Technician,Clerical","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
EL,2005,exante,22,1.777,4.25,Local,,High,"Manager,Professional,Technician,Clerical","Manager,Professional,Technician,Clerical,Service",,
EL,2005,exante,23,0.997,1.01,"European Union,Other",,High,"Manager,Professional,Technician,Clerical",,,
