Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
EL,2011,exante,5,0.673,5.57,"Local,European Union","Unknown,Low,Medium",Low,"Dead/Unknown/Not Working,Agriculture,Elementary",,,
EL,2011,exante,6,0.843,29.85,"Local,European Union","Unknown,Low,Medium","Medium,High","Dead/Unknown/Not Working,Agriculture,Elementary",,,
EL,2011,exante,7,0.497,2.76,Other,"Unknown,Low,Medium",,"Dead/Unknown/Not Working,Agriculture,Elementary",,,
EL,2011,exante,10,0.974,32.94,"Local,European Union","Unknown,Low,Medium","Low,Medium","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",,,
EL,2011,exante,11,1.257,2.3,"Local,European Union","Unknown,Low,Medium",High,"Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",,,
EL,2011,exante,12,0.595,3.03,Other,"Unknown,Low,Medium",,"Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",,,
EL,2011,exante,16,1.082,10.64,"Local,European Union",High,,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
EL,2011,exante,17,1.4,2.81,"Local,European Union",High,,,"Manager,Professional,Technician,Clerical",,
EL,2011,exante,19,1.414,6.49,"Local,European Union",,,,"Dead/Unknown/Not Working,Professional,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
EL,2011,exante,20,2.178,1.38,"Local,European Union",,,,"Manager,Technician,Clerical",,
EL,2011,exante,21,0.737,2.24,Other,High,,,,,
