Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ES,2005,exante,8,0.902,16.64,Local,"Unknown,Medium,High","Unknown,Medium,High","Dead/Unknown/Not Working,Professional,Agriculture,Elementary","Dead/Unknown/Not Working,Manager,Agriculture,Plant Operator,Elementary",,
ES,2005,exante,9,0.973,9.29,Local,"Unknown,Medium,High","Unknown,Medium,High",Craft/Trades,"Dead/Unknown/Not Working,Manager,Agriculture,Plant Operator,Elementary",,
ES,2005,exante,10,0.79,1.12,"European Union,Other","Unknown,Medium,High","Unknown,Medium,High","Dead/Unknown/Not Working,Professional,Agriculture,Craft/Trades,Elementary","Dead/Unknown/Not Working,Manager,Agriculture,Plant Operator,Elementary",,
ES,2005,exante,11,0.833,2.69,,Low,"Unknown,Medium,High","Dead/Unknown/Not Working,Professional,Agriculture,Craft/Trades,Elementary","Dead/Unknown/Not Working,Manager,Agriculture,Plant Operator,Elementary",,
ES,2005,exante,12,1.011,6.49,,"Unknown,Low,Medium,High","Unknown,Medium,High","Dead/Unknown/Not Working,Professional,Agriculture,Craft/Trades,Elementary","Professional,Technician,Clerical,Service,Craft/Trades,Armed Forces",,
ES,2005,exante,16,0.8,16.03,Local,"Unknown,Low",Low,"Dead/Unknown/Not Working,Professional,Agriculture,Craft/Trades,Elementary","Dead/Unknown/Not Working,Manager,Clerical,Agriculture,Plant Operator,Elementary",,
ES,2005,exante,17,0.948,1.81,Local,"Unknown,Low",Low,"Dead/Unknown/Not Working,Professional,Agriculture,Craft/Trades,Elementary","Technician,Service,Craft/Trades",,
ES,2005,exante,18,0.865,4.81,Local,"Medium,High",Low,"Dead/Unknown/Not Working,Professional,Agriculture,Craft/Trades,Elementary",,,
ES,2005,exante,19,0.671,1.04,"European Union,Other","Unknown,Low,Medium,High",Low,"Dead/Unknown/Not Working,Professional,Agriculture,Craft/Trades,Elementary",,,
ES,2005,exante,22,1.026,1.11,,Low,"Unknown,Medium,High","Manager,Technician,Clerical,Service,Plant Operator,Armed Forces",,,
ES,2005,exante,24,0.825,2.25,,Low,Low,"Manager,Plant Operator,Armed Forces",,,
ES,2005,exante,25,0.929,1.47,,Low,Low,"Technician,Clerical,Service",,,
ES,2005,exante,29,1.063,13.71,Local,"Medium,High",,"Manager,Service,Plant Operator","Dead/Unknown/Not Working,Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
ES,2005,exante,30,1.17,4.49,Local,"Medium,High",,"Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
ES,2005,exante,31,1.314,1.65,Local,"Medium,High",,"Manager,Technician,Clerical,Service,Plant Operator,Armed Forces","Professional,Technician,Clerical,Armed Forces",,
ES,2005,exante,32,0.864,1.03,"European Union,Other","Medium,High",,"Manager,Technician,Clerical,Service,Plant Operator,Armed Forces",,,
ES,2005,exante,36,1.234,5.67,Local,,"Unknown,Low,Medium,High",,,,
ES,2005,exante,39,1.164,1.73,Local,,"Unknown,Low,Medium,High","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Manager,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
ES,2005,exante,40,1.472,3.29,Local,,"Unknown,Low,Medium,High","Manager,Professional,Technician","Dead/Unknown/Not Working,Manager,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
ES,2005,exante,41,1.587,1.36,Local,,"Unknown,Low,Medium,High",,"Professional,Clerical",,
ES,2005,exante,42,0.939,1.19,"European Union,Other",,"Unknown,Low,Medium,High",,,,
ES,2005,exante,43,1.713,1.16,,,,,,,
