Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
FI,2019,exante,5,0.863,31.69,"Local,European Union",,"Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Professional,Craft/Trades,Plant Operator,Elementary",,
FI,2019,exante,6,0.689,1.54,Other,,"Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Professional,Craft/Trades,Plant Operator,Elementary",,
FI,2019,exante,10,1.01,18.7,Local,"Unknown,Medium","Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Technician,Clerical,Service,Agriculture,Armed Forces",,
FI,2019,exante,11,1.124,4.38,Local,High,"Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Technician,Clerical,Service,Agriculture,Armed Forces",,
FI,2019,exante,12,0.795,1.2,"European Union,Other","Unknown,Medium,High","Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Technician,Clerical,Service,Agriculture,Armed Forces",,
FI,2019,exante,13,0.885,9.46,,Low,"Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Technician,Clerical,Service,Agriculture,Armed Forces",,
FI,2019,exante,14,1.183,3.71,,,"Unknown,Low,Medium",Manager,,,
FI,2019,exante,17,0.908,2.89,,,High,"Dead/Unknown/Not Working,Clerical,Elementary,Armed Forces",,,
FI,2019,exante,18,1.121,12.35,,,High,"Technician,Service,Craft/Trades,Plant Operator",,,
FI,2019,exante,20,1.144,3.23,,"Low,Medium",High,"Manager,Professional,Agriculture",,,
FI,2019,exante,21,1.418,10.85,,High,High,"Manager,Professional,Agriculture",,,
