Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
FR,2011,exante,6,0.939,21.1,"Local,European Union","Unknown,Low,Medium,High",,"Dead/Unknown/Not Working,Service,Agriculture,Plant Operator","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
FR,2011,exante,7,1.113,2.91,"Local,European Union","Unknown,Low,Medium,High",,"Dead/Unknown/Not Working,Service,Agriculture,Plant Operator","Manager,Professional,Technician,Clerical,Armed Forces",,
FR,2011,exante,9,0.7,1.21,"Local,European Union",Low,,Elementary,,,
FR,2011,exante,10,0.848,19.31,"Local,European Union","Medium,High",,Elementary,,,
FR,2011,exante,12,0.69,1.64,Other,"Unknown,Low,Medium,High","Unknown,Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,,
FR,2011,exante,13,0.572,1.88,Other,"Unknown,Low,Medium,High",Low,"Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,,
FR,2011,exante,18,0.992,21.34,"Local,European Union","Low,Medium",,"Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
FR,2011,exante,19,1.128,9.43,"Local,European Union","Low,Medium",,"Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces","Technician,Clerical,Craft/Trades",,
FR,2011,exante,20,0.785,2.05,Other,"Low,Medium",,"Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces","Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
FR,2011,exante,21,1.112,5.77,,High,,"Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces","Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
FR,2011,exante,22,1.388,2.16,,"Unknown,Low,Medium,High",,"Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces","Manager,Professional,Armed Forces",,
FR,2011,exante,23,1.31,11.21,,,,,,,
