Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GHA,2017,exante,5,1.047,1.63,"Africa Other Than Ecowas,Brongahafo,Upper West",,,," Sales,Administrative,Clerical,Homeworker,Professional,Service","Akan,All Other Tribes,Ewe,Ga-Dangme,Guan",
GHA,2017,exante,6,1.629,1.13,"Northern,Upper East",,,," Sales,Administrative,Clerical,Homeworker,Professional,Service","Akan,All Other Tribes,Ewe,Ga-Dangme,Guan",
GHA,2017,exante,8,1.117,1.67,"Africa Other Than Ecowas,Brongahafo,Northern,Upper East,Upper West",,," Sales,Administrative,Production,Professional"," Sales,Administrative,Clerical,Homeworker,Professional,Service","Grusi,Gurma,Mande,Mole-Dagbanii",
GHA,2017,exante,9,0.866,4.06,"Africa Other Than Ecowas,Brongahafo,Northern,Upper East,Upper West",,,"Agri,Fish,Hunt,Clerical,Homeworker,Service"," Sales,Administrative,Clerical,Homeworker,Professional,Service","Grusi,Gurma,Mande,Mole-Dagbanii",
GHA,2017,exante,13,0.734,9.65,"Africa Other Than Ecowas,Brongahafo,Northern","No School,Primary School",,,"Agri,Fish,Hunt,Production","Akan,All Other Tribes,Ewe,Ga-Dangme,Guan,Gurma,Mande",
GHA,2017,exante,14,0.664,1.64,"Upper East,Upper West","No School,Primary School",,,"Agri,Fish,Hunt,Production","Akan,All Other Tribes,Ewe,Ga-Dangme,Guan,Gurma,Mande",
GHA,2017,exante,15,0.938,1.49,"Africa Other Than Ecowas,Brongahafo,Northern,Upper East,Upper West","Middle School,Secondary School,Theacher, Nursing Trean,First Degree,Post Graduate",,,"Agri,Fish,Hunt,Production","Akan,All Other Tribes,Ewe,Ga-Dangme,Guan,Gurma,Mande",
GHA,2017,exante,18,0.475,1.98,"Africa Other Than Ecowas,Brongahafo,Northern,Upper East",,,,"Agri,Fish,Hunt,Production",Grusi,
GHA,2017,exante,20,0.742,5.35,"Africa Other Than Ecowas,Brongahafo,Northern",,,,"Agri,Fish,Hunt,Production",Mole-Dagbanii,
GHA,2017,exante,21,0.667,7.58,Upper East,,,,"Agri,Fish,Hunt,Production",Mole-Dagbanii,
GHA,2017,exante,22,0.512,9.98,Upper West,,,,"Agri,Fish,Hunt,Production","Grusi,Mole-Dagbanii",
GHA,2017,exante,28,1.091,5.88,"Ashanti,Central,Eastern,Other Ecowas,Volta,Western","No School,Primary School","No School,Primary School,Middle School,First Degree,Post Graduate",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service","Akan,All Other Tribes,Ga-Dangme,Guan,Gurma,Mande",
GHA,2017,exante,29,0.893,3.0,"Ashanti,Central,Eastern,Other Ecowas,Volta,Western","No School,Primary School","No School,Primary School,Middle School,First Degree,Post Graduate",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service","Ewe,Grusi,Mole-Dagbanii",
GHA,2017,exante,31,1.157,11.25,"Ashanti,Central,Eastern,Other Ecowas,Volta,Western","Middle School,Secondary School,Post Graduate","No School,Primary School,Middle School,First Degree,Post Graduate",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2017,exante,32,1.592,1.24,"Ashanti,Central,Eastern,Other Ecowas,Volta,Western","Theacher, Nursing Trean,First Degree","No School,Primary School,Middle School,First Degree,Post Graduate",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2017,exante,33,1.59,1.31,"Ashanti,Central,Eastern,Other Ecowas,Volta,Western",,"Secondary School,Theacher, Nursing Trean",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2017,exante,35,1.917,1.64,"Greater Accra,Outside Africa",,," Sales,Administrative,Professional"," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2017,exante,37,1.745,1.1,"Greater Accra,Outside Africa",,,"Agri,Fish,Hunt,Clerical,Homeworker,Production,Service"," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service","Akan,All Other Tribes,Ewe,Guan,Mande",
GHA,2017,exante,38,1.241,1.57,"Greater Accra,Outside Africa",,,"Agri,Fish,Hunt,Clerical,Homeworker,Production,Service"," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service","Ga-Dangme,Grusi,Gurma,Mole-Dagbanii",
GHA,2017,exante,41,0.917,11.76,"Ashanti,Eastern,Other Ecowas,Volta,Western",,,,"Agri,Fish,Hunt","Akan,Gurma",
GHA,2017,exante,42,0.798,9.05,"Ashanti,Eastern,Other Ecowas,Volta,Western",,,,"Agri,Fish,Hunt","All Other Tribes,Ewe,Ga-Dangme,Grusi,Guan,Mande,Mole-Dagbanii",
GHA,2017,exante,43,1.071,6.02,"Central,Greater Accra,Outside Africa",,,,"Agri,Fish,Hunt",,
