Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GTM,2006,exante,5,1.041,1.96,Guatemala,,,,,,
GTM,2006,exante,9,0.631,12.55,"El Progreso,Quetzaltenango,Suchitepequez,Retalhuleu,San Marcos,Izabal,Zacapa,Jutiapa",,,,,"White,Mix-Race,Afro-Descendant",
GTM,2006,exante,10,0.717,5.63,"El Progreso,Quetzaltenango,Suchitepequez,Retalhuleu,San Marcos,Izabal,Zacapa,Jutiapa",,"3 Years Of Education,6 Years Of Education",,,"White,Mix-Race,Afro-Descendant",
GTM,2006,exante,11,0.791,6.8,"Sacatepequez,Escuintla,Santa Rosa,Peten,Other Country",,,,,"White,Mix-Race,Afro-Descendant",
GTM,2006,exante,13,0.448,2.93,"El Progreso,San Marcos,Peten,Izabal,Zacapa,Jutiapa,Other Country",,,,,Indigenous,
GTM,2006,exante,14,0.632,5.77,"Sacatepequez,Escuintla,Santa Rosa,Quetzaltenango,Suchitepequez,Retalhuleu",,,,,Indigenous,
GTM,2006,exante,17,0.596,7.02,"Chimaltenengo,Solola,Totonicapan,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Chiquimula,Jalapa",,,,,Mix-Race,
GTM,2006,exante,19,0.431,10.99,"Chimaltenengo,Solola,Totonicapan,Huehuetenango,Baja Verapaz",,,,,Indigenous,
GTM,2006,exante,20,0.345,7.01,"Quiche,Alta Verapaz,Chiquimula,Jalapa",,,,,Indigenous,
GTM,2006,exante,22,0.909,2.15,"Chimaltenengo,Solola,Totonicapan,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Chiquimula,Jalapa",,"3 Years Of Education,6 Years Of Education",,,Mix-Race,
GTM,2006,exante,23,0.583,3.11,"Chimaltenengo,Solola,Totonicapan,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Chiquimula,Jalapa",,"3 Years Of Education,6 Years Of Education",,,Indigenous,
GTM,2006,exante,27,1.331,1.82,Guatemala,"3 Years Of Education,6 Years Of Education",3 Years Of Education,,,,
GTM,2006,exante,28,1.611,1.04,Guatemala,"3 Years Of Education,6 Years Of Education",6 Years Of Education,,,,
GTM,2006,exante,29,2.635,1.56,"Alta Verapaz,Chiquimula","3 Years Of Education,6 Years Of Education",,,,,
GTM,2006,exante,34,0.82,4.42,"El Progreso,Sacatepequez,Chimaltenengo,Escuintla,Santa Rosa,Solola,Totonicapan,Quetzaltenango,Suchitepequez,Retalhuleu,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Peten,Izabal,Zacapa,Jalapa,Jutiapa,Other Country",3 Years Of Education,,,,"White,Mix-Race,Afro-Descendant",
GTM,2006,exante,35,1.105,8.74,"El Progreso,Sacatepequez,Chimaltenengo,Escuintla,Santa Rosa,Solola,Totonicapan,Quetzaltenango,Suchitepequez,Retalhuleu,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Peten,Izabal,Zacapa,Jalapa,Jutiapa,Other Country",3 Years Of Education,3 Years Of Education,,,"White,Mix-Race,Afro-Descendant",
GTM,2006,exante,37,1.051,1.13,"El Progreso,Sacatepequez,Escuintla,Solola,Suchitepequez,Jalapa",3 Years Of Education,3 Years Of Education,,,Indigenous,
GTM,2006,exante,38,0.706,2.85,"Chimaltenengo,Totonicapan,Quetzaltenango,Retalhuleu,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Peten,Izabal,Jutiapa,Other Country",3 Years Of Education,3 Years Of Education,,,Indigenous,
GTM,2006,exante,39,1.218,2.47,"El Progreso,Sacatepequez,Chimaltenengo,Escuintla,Santa Rosa,Solola,Totonicapan,Quetzaltenango,Suchitepequez,Retalhuleu,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Peten,Izabal,Zacapa,Jalapa,Jutiapa,Other Country",6 Years Of Education,3 Years Of Education,,,,
GTM,2006,exante,40,1.579,5.3,"El Progreso,Sacatepequez,Chimaltenengo,Escuintla,Santa Rosa,Solola,Totonicapan,Quetzaltenango,Suchitepequez,Retalhuleu,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Peten,Izabal,Zacapa,Jalapa,Jutiapa,Other Country","3 Years Of Education,6 Years Of Education",6 Years Of Education,,,,
GTM,2006,exante,42,2.023,1.56,,,"3 Years Of Education,6 Years Of Education",,,,
GTM,2006,exante,44,4.227,1.62,"Guatemala,Huehuetenango,Izabal,Zacapa,Chiquimula,Jalapa,Other Country",,,,,,
GTM,2006,exante,45,2.451,1.57,"El Progreso,Sacatepequez,Chimaltenengo,Escuintla,Santa Rosa,Solola,Totonicapan,Quetzaltenango,Suchitepequez,Retalhuleu,San Marcos,Quiche,Baja Verapaz,Alta Verapaz,Peten,Jutiapa",,,,,,
