Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IT,2005,exante,7,0.817,1.41,,"Unknown,Medium",Unknown,"Dead/Unknown/Not Working,Professional,Technician,Elementary,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2005,exante,8,0.686,2.87,,"Unknown,Medium",Low,"Dead/Unknown/Not Working,Professional,Technician,Elementary,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2005,exante,9,0.845,4.68,,"Unknown,Medium","Unknown,Low","Manager,Clerical,Service,Agriculture,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2005,exante,13,0.894,21.0,Local,"Unknown,Medium","Medium,High","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",Dead/Unknown/Not Working,,
IT,2005,exante,15,0.967,3.05,Local,"Unknown,Medium","Medium,High","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Agriculture,Elementary",,Male
IT,2005,exante,16,0.915,3.21,Local,"Unknown,Medium","Medium,High","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Agriculture,Elementary",,Female
IT,2005,exante,17,0.748,1.13,"European Union,Other","Unknown,Medium","Medium,High","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2005,exante,18,1.037,2.68,,"Unknown,Medium","Medium,High","Manager,Professional,Technician,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2005,exante,21,0.733,8.85,,Low,,"Dead/Unknown/Not Working,Manager,Technician,Clerical,Agriculture,Craft/Trades,Plant Operator,Armed Forces",Dead/Unknown/Not Working,,
IT,2005,exante,22,0.643,2.98,,Low,,"Professional,Service,Elementary",Dead/Unknown/Not Working,,
IT,2005,exante,24,0.667,1.0,,Low,,"Dead/Unknown/Not Working,Manager,Clerical,Elementary","Agriculture,Elementary",,
IT,2005,exante,25,0.817,2.58,,Low,,"Professional,Technician,Service,Agriculture,Craft/Trades,Plant Operator","Agriculture,Elementary",,
IT,2005,exante,28,1.004,7.56,,"Unknown,Low,Medium","Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Service,Agriculture,Craft/Trades,Elementary,Armed Forces","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator",,
IT,2005,exante,29,1.112,4.4,,"Unknown,Low,Medium","Unknown,Low,Medium","Manager,Technician,Clerical,Plant Operator","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator",,
IT,2005,exante,31,1.168,1.54,,"Unknown,Low,Medium",High,,"Manager,Service,Craft/Trades,Plant Operator",,
IT,2005,exante,32,1.314,1.8,,"Unknown,Low,Medium",High,,"Professional,Technician,Clerical",,
IT,2005,exante,37,1.003,8.51,,High,"Unknown,Low,Medium,High","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Agriculture",,
IT,2005,exante,38,1.149,3.4,,High,"Unknown,Low,Medium,High","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Service,Craft/Trades,Elementary",,
IT,2005,exante,39,1.295,1.19,,High,,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Elementary,Armed Forces",,
IT,2005,exante,41,1.144,2.04,,High,,"Dead/Unknown/Not Working,Service,Craft/Trades,Elementary,Armed Forces","Manager,Professional,Technician,Clerical,Plant Operator",,
IT,2005,exante,42,1.397,2.08,,High,,"Clerical,Agriculture,Plant Operator","Manager,Professional,Technician,Clerical,Plant Operator",,
IT,2005,exante,46,1.133,1.98,,High,,"Manager,Professional,Technician","Dead/Unknown/Not Working,Craft/Trades,Elementary",,
IT,2005,exante,47,1.337,2.64,,,,"Manager,Professional,Technician","Dead/Unknown/Not Working,Craft/Trades,Elementary",,
IT,2005,exante,48,1.454,4.46,,High,,"Manager,Professional,Technician","Manager,Professional,Technician,Clerical,Service,Agriculture,Plant Operator",,
IT,2005,exante,50,1.699,1.76,,,"Unknown,Low,High","Manager,Professional,Technician",,,
IT,2005,exante,51,1.911,1.18,,,Medium,"Manager,Professional,Technician",,,
