Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
LU,2011,exante,4,0.942,16.3,Local,"Unknown,Low,Medium",,"Dead/Unknown/Not Working,Manager,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
LU,2011,exante,5,1.072,7.24,Local,"Unknown,Low,Medium",,"Professional,Technician,Clerical,Service,Agriculture",,,
LU,2011,exante,7,0.634,6.66,"European Union,Other","Unknown,Low,Medium","Unknown,Low",,,,
LU,2011,exante,11,0.763,18.45,European Union,"Unknown,Low,Medium",Medium,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
LU,2011,exante,12,0.606,2.98,Other,"Unknown,Low,Medium",Medium,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
LU,2011,exante,13,0.924,2.4,"European Union,Other","Unknown,Low,Medium",Medium,"Manager,Professional,Technician",,,
LU,2011,exante,14,0.924,1.99,"European Union,Other","Unknown,Low,Medium",High,,,,
LU,2011,exante,18,1.012,9.4,"Local,European Union",High,"Unknown,Low,Medium","Dead/Unknown/Not Working,Manager,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
LU,2011,exante,19,1.197,6.21,"Local,European Union",High,"Unknown,Low,Medium","Professional,Technician,Clerical,Service,Armed Forces",,,
LU,2011,exante,20,0.781,1.33,Other,High,"Unknown,Low,Medium",,,,
LU,2011,exante,24,1.26,12.99,"Local,European Union",High,High,,"Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical,Agriculture,Plant Operator",,
LU,2011,exante,25,1.017,2.21,"Local,European Union",High,High,,"Service,Craft/Trades,Elementary",,
LU,2011,exante,26,0.946,1.12,Other,High,High,,,,
LU,2011,exante,27,1.352,10.73,,,High,,,,
