Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
MEX,2017,exante,4,0.79,17.7,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,21 Years Of Education","1 Years Of Education,2 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Man
MEX,2017,exante,7,0.869,4.36,"North,North-West","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,21 Years Of Education","1 Years Of Education,2 Years Of Education,5 Years Of Education,7 Years Of Education",,,Non-Indigenous,Woman
MEX,2017,exante,8,0.673,19.8,"Center-West,South,Mexico City","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,21 Years Of Education","1 Years Of Education,2 Years Of Education,5 Years Of Education,7 Years Of Education",,,Non-Indigenous,Woman
MEX,2017,exante,9,0.508,5.62,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,21 Years Of Education","1 Years Of Education,2 Years Of Education,5 Years Of Education,7 Years Of Education",,,Indigenous,Woman
MEX,2017,exante,11,1.234,15.76,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,21 Years Of Education","3 Years Of Education,4 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education,16 Years Of Education,17 Years Of Education,18 Years Of Education,19 Years Of Education,21 Years Of Education,22 Years Of Education",,,,Man
MEX,2017,exante,14,0.887,20.82,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,21 Years Of Education","3 Years Of Education,4 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,18 Years Of Education",,,Non-Indigenous,Woman
MEX,2017,exante,15,0.681,2.22,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,21 Years Of Education","3 Years Of Education,4 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,18 Years Of Education",,,Indigenous,Woman
MEX,2017,exante,16,1.313,1.84,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,21 Years Of Education","11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education,16 Years Of Education,17 Years Of Education,19 Years Of Education,21 Years Of Education,22 Years Of Education",,,,Woman
MEX,2017,exante,18,1.95,5.4,,"11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education,16 Years Of Education,17 Years Of Education,18 Years Of Education,19 Years Of Education,20 Years Of Education,22 Years Of Education",,,,,Man
MEX,2017,exante,20,1.47,4.87,,"11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education,16 Years Of Education,17 Years Of Education,18 Years Of Education,19 Years Of Education,20 Years Of Education,22 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,18 Years Of Education,22 Years Of Education",,,,Woman
MEX,2017,exante,21,2.065,1.6,,"11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education,16 Years Of Education,17 Years Of Education,18 Years Of Education,19 Years Of Education,20 Years Of Education,22 Years Of Education","4 Years Of Education,8 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education,16 Years Of Education,17 Years Of Education,19 Years Of Education,21 Years Of Education",,,,Woman
