Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
NPL,2003,exante,6,1.344,1.69,"Mountains,Urban - Hill,Urban - Terai,Rural Hills - Eastern,Rural Hills - Central,Rural Hills - Western,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 1,Class 8,Class 10,Slc,Intermediate/Class 12,Bachelor Level","Class 2,Class 4,Class 6,Class 8,Class 9,Illiterate",,,,Female
NPL,2003,exante,7,3.053,1.1,"Mountains,Urban - Hill,Urban - Terai,Rural Hills - Eastern,Rural Hills - Central,Rural Hills - Western,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 1,Class 8,Class 10,Slc,Intermediate/Class 12,Bachelor Level","Class 3,Class 5,Class 7,Class 10,Slc,Intermediate/Class 12,Literate (Levelless)",,,,Female
NPL,2003,exante,8,2.912,1.24,"Mountains,Urban - Hill,Urban - Terai,Rural Hills - Eastern,Rural Hills - Central,Rural Hills - Western,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 1,Class 8,Class 10,Slc,Intermediate/Class 12,Bachelor Level",,,,,Male
NPL,2003,exante,10,1.078,7.2,"Mountains,Rural Hills - Eastern,Rural Terai - Central,Rural Terai - Western","Class 4,Class 5,Class 6,Class 7,Class 9,Master Level Or Higher,Literate (Levelless)",,,,,
NPL,2003,exante,11,1.456,14.35,"Urban - Hill,Urban - Terai,Rural Hills - Central,Rural Hills - Western,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Mid And Far West","Class 4,Class 5,Class 6,Class 7,Class 9,Master Level Or Higher,Literate (Levelless)",,,,,
NPL,2003,exante,12,3.288,3.55,Urban - Kathmandu,"Class 1,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Literate (Levelless)",,,,,
NPL,2003,exante,17,0.722,31.04,"Mountains,Urban - Terai,Rural Hills - Eastern,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Mid And Far West","Class 2,Class 3,Illiterate",,,,"Hindu,Islam,Kirant,Shikh",
NPL,2003,exante,18,0.596,11.49,"Rural Terai - Central,Rural Terai - Western","Class 2,Class 3,Illiterate",,,,"Hindu,Islam,Kirant,Shikh",
NPL,2003,exante,19,0.912,3.1,"Mountains,Urban - Terai,Rural Hills - Eastern,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 2,Class 3,Illiterate",,,,"Bouddha,Christian,Other Religion",
NPL,2003,exante,21,1.02,16.4,"Urban - Hill,Rural Hills - Central,Rural Hills - Western","Class 2,Class 3,Illiterate",,,,"Hindu,Islam,Christian",
NPL,2003,exante,23,0.579,4.08,"Urban - Hill,Rural Hills - Central","Class 2,Class 3,Illiterate",,,,"Bouddha,Kirant",
NPL,2003,exante,24,0.995,1.04,Rural Hills - Western,"Class 2,Class 3,Illiterate",,,,"Bouddha,Kirant",
NPL,2003,exante,25,1.956,3.71,Urban - Kathmandu,"Class 2,Class 3,Illiterate",,,,,
