Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PER,2012,exante,7,0.588,8.16,"Amazonas-San Martin-Ucayali,Ayacucho,Cajamarca,Ica,Junin-Pasco,La Libertad,Lambayeque,Loreto,Piura-Tumbes","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education",,,,"White,Mix-Race",
PER,2012,exante,8,0.723,1.92,"Anchash,Apurimac,Huancavelica,Huánuco,Lima,Puno","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education",,,,"White,Mix-Race",
PER,2012,exante,11,0.42,7.0,"Amazonas-San Martin-Ucayali,Apurimac,Ayacucho,Cajamarca,Huánuco,Ica,Junin-Pasco,Loreto",,,,,"Indigenous,Afro-Descendant,Other",
PER,2012,exante,12,0.456,3.24,"Amazonas-San Martin-Ucayali,Apurimac,Ayacucho,Cajamarca,Huánuco,Ica,Junin-Pasco,Loreto","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education",,,,"Indigenous,Afro-Descendant,Other",
PER,2012,exante,14,0.425,2.11,"Anchash,Huancavelica,La Libertad,Lambayeque,Lima,Piura-Tumbes,Puno","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education",,,,"Indigenous,Afro-Descendant,Other",Female
PER,2012,exante,15,0.507,5.22,"Anchash,Huancavelica,La Libertad,Lambayeque,Lima,Piura-Tumbes,Puno","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education",,,,"Indigenous,Afro-Descendant,Other",Male
PER,2012,exante,17,0.653,4.98,"Amazonas-San Martin-Ucayali,Anchash,Apurimac,Ayacucho,Cajamarca,Huancavelica,Huánuco,Ica,Junin-Pasco,La Libertad,Lambayeque,Lima,Loreto,Piura-Tumbes,Puno","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,6 Years Of Education",,,"White,Indigenous,Other",
PER,2012,exante,18,0.737,8.4,"Amazonas-San Martin-Ucayali,Anchash,Apurimac,Ayacucho,Cajamarca,Huancavelica,Huánuco,Ica,Junin-Pasco,La Libertad,Lambayeque,Lima,Loreto,Piura-Tumbes,Puno","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,6 Years Of Education",,,"Mix-Race,Afro-Descendant",
PER,2012,exante,20,0.849,2.31,"Arequipa,Cusco-Madre De Dios,Callao,Moquegua-Tacna","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education",4 Years Of Education,,,,
PER,2012,exante,21,0.982,2.26,"Arequipa,Cusco-Madre De Dios,Callao,Moquegua-Tacna","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,6 Years Of Education",,,,
