Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PT,2019,exante,6,0.798,7.08,,Unknown,,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2019,exante,8,0.791,15.02,,"Low,Medium,High",,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Craft/Trades",,
PT,2019,exante,9,0.838,10.26,,"Low,Medium,High",,"Dead/Unknown/Not Working,Agriculture,Elementary","Service,Agriculture,Plant Operator,Elementary",,
PT,2019,exante,10,0.856,21.05,,,,Craft/Trades,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2019,exante,12,1.004,1.71,,"Unknown,Medium,High",,"Clerical,Service,Plant Operator","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2019,exante,13,0.943,19.72,,Low,,"Clerical,Service,Plant Operator","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2019,exante,15,1.126,5.1,,"Unknown,Low",,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
PT,2019,exante,16,1.217,1.82,,"Medium,High",,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
PT,2019,exante,18,1.197,10.43,,,"Unknown,Low","Manager,Professional,Technician,Armed Forces",,,
PT,2019,exante,20,1.262,1.3,,Low,"Medium,High","Manager,Professional,Technician,Armed Forces",,,
PT,2019,exante,22,1.498,2.62,,"Medium,High",Medium,"Manager,Professional,Technician,Armed Forces",,,
PT,2019,exante,23,1.753,3.88,,"Medium,High",High,"Manager,Professional,Technician,Armed Forces",,,
