Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
TZN,2013,exante,6,0.636,14.28,"Dodoma,Lindi,Mtwara,Ruvuma,Rukwa,Kigoma,Mwanza",No School,,,,,
TZN,2013,exante,7,0.82,6.04,"Dodoma,Lindi,Mtwara,Ruvuma,Rukwa,Kigoma,Mwanza",Some Primary,,,,,
TZN,2013,exante,8,0.901,39.15,"Arusha,Tanga,Morogoro,Pwani,Iringa,Mbeya,Singida,Tabora,Shinyanga,Kagera,Mara,Manyara,Unguja(North, South, West),Pemba(North, South)","No School,Some Primary",,,,,
TZN,2013,exante,10,0.812,8.53,"Dodoma,Ruvuma,Mbeya,Tabora,Rukwa,Kigoma,Shinyanga,Unguja(North, South, West),Pemba(North, South)",Completed Primary,,,,,
TZN,2013,exante,12,0.929,3.24,"Arusha,Tanga,Morogoro,Pwani,Lindi,Mtwara,Iringa,Singida,Kagera,Mwanza,Mara,Manyara",Completed Primary,No School,,,,
TZN,2013,exante,13,1.287,9.45,"Arusha,Tanga,Morogoro,Pwani,Lindi,Mtwara,Iringa,Singida,Kagera,Mwanza,Mara,Manyara",Completed Primary,"Some Primary,Completed Primary,Some Secondary,Completed Secondary",,,,
TZN,2013,exante,15,1.18,5.0,"Kilimanjaro,Dar Es Salaam","No School,Some Primary",,,,,
TZN,2013,exante,16,1.645,3.6,"Kilimanjaro,Dar Es Salaam",Completed Primary,,,,,
TZN,2013,exante,19,2.006,2.06,"Dodoma,Kilimanjaro,Morogoro,Dar Es Salaam,Mbeya,Manyara","Some Secondary,Completed Secondary",,,,,
TZN,2013,exante,20,1.382,6.47,"Arusha,Tanga,Pwani,Lindi,Mtwara,Ruvuma,Iringa,Singida,Tabora,Rukwa,Kigoma,Shinyanga,Kagera,Mwanza,Mara,Unguja(North, South, West),Pemba(North, South)","Some Secondary,Completed Secondary",,,,,
TZN,2013,exante,21,2.239,2.18,,More Than Secondary,,,,,
