Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ZAF,2008,exante,6,0.318,30.33,,"1 Grade/Years Of Education,2 Grade/Years Of Education,4 Grade/Years Of Education,9 Grade/Years Of Education",,,"Managers,Farm, Forest, Fishery,Operators,Others","African,Coloured",Female
ZAF,2008,exante,7,0.696,1.33,,"3 Grade/Years Of Education,5 Grade/Years Of Education",,,"Managers,Farm, Forest, Fishery,Operators,Others","African,Coloured",Female
ZAF,2008,exante,8,0.581,17.63,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,9 Grade/Years Of Education",,,"Managers,Farm, Forest, Fishery,Operators,Others","African,Coloured",Male
ZAF,2008,exante,10,0.615,1.48,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,9 Grade/Years Of Education",,,"Professionals,Technicians And Professionals,Clerical Support,Craft","African,Coloured",
ZAF,2008,exante,11,0.465,21.64,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,9 Grade/Years Of Education",,,"Service And Sales,Elementary","African,Coloured",
ZAF,2008,exante,13,1.35,2.37,,"6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,,"Managers,Professionals,Clerical Support,Farm, Forest, Fishery,Operators","African,Coloured",
ZAF,2008,exante,15,1.146,2.23,,"6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Military,Managers,Professionals,Technicians And Professionals,Clerical Support","Technicians And Professionals,Service And Sales,Craft,Elementary,Others","African,Coloured",
ZAF,2008,exante,17,0.67,10.33,,"6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Service And Sales,Farm, Forest, Fishery,Craft,Operators,Elementary,Others","Technicians And Professionals,Service And Sales,Craft,Elementary,Others",African,
ZAF,2008,exante,18,1.142,2.42,,"6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Service And Sales,Farm, Forest, Fishery,Craft,Operators,Elementary,Others","Technicians And Professionals,Service And Sales,Craft,Elementary,Others",Coloured,
ZAF,2008,exante,20,1.511,1.38,,,"6 Grade/Years Of Education,7 Grade/Years Of Education,11 Grade/Years Of Education",,,"Asian/Indian,White",
ZAF,2008,exante,21,3.192,8.87,,,"2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education,10 Grade/Years Of Education,12 Grade/Years Of Education",,,"Asian/Indian,White",
