Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ARG,2014,expost,5,1.055,10.39,Gran Buenos Aires,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,11 Years Of Education",,"Armed Forces,Clerks,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,,
ARG,2014,expost,6,1.274,2.91,Gran Buenos Aires,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,11 Years Of Education",,"Managers,Professionals,Technicians And Associate Professionals",,,
ARG,2014,expost,7,1.183,4.16,Patagonia,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,11 Years Of Education",,,,,
ARG,2014,expost,9,1.299,2.79,"Gran Buenos Aires,Patagonia","10 Years Of Education,12 Years Of Education,13 Years Of Education,15 Years Of Education","2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,11 Years Of Education",,,,
ARG,2014,expost,10,1.753,5.61,"Gran Buenos Aires,Patagonia","10 Years Of Education,12 Years Of Education,13 Years Of Education,15 Years Of Education","4 Years Of Education,10 Years Of Education,12 Years Of Education,13 Years Of Education,15 Years Of Education",,,,
ARG,2014,expost,15,0.958,9.05,"Pampeana,Other Country",,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education","Armed Forces,Managers,Clerks,Services And Sales Workers,Craft And Trade Workers",,,
ARG,2014,expost,16,0.995,1.88,"Pampeana,Other Country",,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education","Professionals,Technicians And Associate Professionals",,,
ARG,2014,expost,17,0.8,17.08,"Pampeana,Other Country",,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education","Agricultural, Forestry And Fishery Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,,
ARG,2014,expost,19,0.676,12.18,Cuyo,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education",,,,
ARG,2014,expost,21,0.585,9.12,"Noa,Nea","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,13 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education",,,,
ARG,2014,expost,22,0.708,10.4,"Noa,Nea","7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,15 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education",,,,
ARG,2014,expost,25,1.017,2.58,"Pampeana,Other Country",,"10 Years Of Education,11 Years Of Education,12 Years Of Education,15 Years Of Education","Armed Forces,Clerks,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,,
ARG,2014,expost,26,1.468,4.4,"Pampeana,Other Country",,"10 Years Of Education,11 Years Of Education,12 Years Of Education,15 Years Of Education","Managers,Professionals,Technicians And Associate Professionals,Services And Sales Workers",,,
ARG,2014,expost,27,0.936,7.43,"Cuyo,Noa,Nea",,"10 Years Of Education,11 Years Of Education,12 Years Of Education,15 Years Of Education",,,,
