Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BE,2011,expost,6,0.803,8.05,Local,"Unknown,Low,Medium","Unknown,Low,Medium","Dead/Unknown/Not Working,Manager",,,
BE,2011,expost,8,0.755,1.07,Local,"Unknown,Low,Medium","Unknown,Low","Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
BE,2011,expost,9,0.953,29.34,Local,"Unknown,Low,Medium",Medium,"Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
BE,2011,expost,10,0.804,4.09,European Union,"Unknown,Low,Medium","Unknown,Low,Medium",,,,
BE,2011,expost,11,1.046,7.8,"Local,European Union","Unknown,Low,Medium",High,,,,
BE,2011,expost,14,1.14,19.05,Local,High,,,,,
BE,2011,expost,15,1.067,1.2,European Union,High,,,,,
BE,2011,expost,18,1.224,13.7,Local,,"Unknown,High",,,,
BE,2011,expost,19,1.127,3.14,Local,,"Low,Medium",,,,
BE,2011,expost,20,1.29,1.59,European Union,,,,,,
BE,2011,expost,23,0.595,7.7,Other,"Unknown,Low,Medium,High",,,"Dead/Unknown/Not Working,Technician",,
BE,2011,expost,24,0.697,1.07,Other,"Unknown,Low,Medium,High",,,"Manager,Professional,Clerical,Service,Agriculture,Craft/Trades,Elementary",,
BE,2011,expost,25,1.011,2.21,Other,,,,,,
