Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BG,2019,expost,5,0.619,3.77,,,"Unknown,Low",Dead/Unknown/Not Working,,,
BG,2019,expost,6,0.57,21.85,,,"Unknown,Low","Agriculture,Elementary",,,
BG,2019,expost,8,0.693,7.32,,,"Unknown,Low","Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Clerical,Agriculture,Plant Operator,Elementary",,
BG,2019,expost,9,0.812,4.03,,,"Unknown,Low","Service,Craft/Trades,Plant Operator","Professional,Service,Craft/Trades",,
BG,2019,expost,11,0.884,31.43,,,"Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
BG,2019,expost,13,1.295,3.35,,,"Medium,High","Dead/Unknown/Not Working,Service,Agriculture","Professional,Technician,Clerical",,
BG,2019,expost,15,1.04,3.72,,,"Medium,High","Craft/Trades,Elementary","Professional,Technician,Clerical",,
BG,2019,expost,16,1.061,2.56,,,"Medium,High",Plant Operator,"Professional,Technician,Clerical",,
BG,2019,expost,18,2.073,9.2,,,"Unknown,High","Manager,Professional,Technician,Clerical,Armed Forces",,,
BG,2019,expost,20,1.399,3.23,,"Low,High","Low,Medium","Manager,Professional,Technician,Clerical,Armed Forces",,,
BG,2019,expost,21,1.111,9.55,,Medium,"Low,Medium","Manager,Professional,Technician,Clerical,Armed Forces",,,
