Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BRA,2014,expost,7,0.576,2.99,"Rondonia,Roraima,Amapa,Minas Gerais,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country",,"1 Years Of Education,2 Years Of Education,3 Years Of Education","Armed Forces,Clerks,Agricultural, Forestry And Fishery Workers,Unemployed",,"White,Other",
BRA,2014,expost,8,0.475,3.06,"Rondonia,Roraima,Amapa,Minas Gerais,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country",,"1 Years Of Education,2 Years Of Education,3 Years Of Education","Armed Forces,Clerks,Agricultural, Forestry And Fishery Workers,Unemployed",,"Mix-Race,Indigenous,Afro-Descendant",
BRA,2014,expost,10,0.665,1.07,"Rondonia,Roraima,Amapa,Minas Gerais,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country",,"1 Years Of Education,2 Years Of Education,3 Years Of Education","Managers,Technicians And Associate Professionals,Services And Sales Workers,Plant And Machine Opperators And Assemblers",,,
BRA,2014,expost,11,0.633,1.2,"Rondonia,Roraima,Amapa,Minas Gerais,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country",,"1 Years Of Education,2 Years Of Education,3 Years Of Education","Professionals,Craft And Trade Workers,Elementary Occupations",,,
BRA,2014,expost,14,0.758,1.01,"Rondonia,Minas Gerais,Espirito Santo,Parana","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,"1,3,4,5,7,9",,
BRA,2014,expost,15,0.843,2.05,"Roraima,Amapa,Rio De Janeiro,Sao Paulo,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,"1,3,4,5,7,9",,
BRA,2014,expost,18,0.943,1.42,"Rondonia,Roraima,Amapa,Minas Gerais,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education","Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations","2,6,8,10","White,Other",
BRA,2014,expost,19,0.734,4.07,"Rondonia,Roraima,Amapa,Minas Gerais,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education","Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Unemployed","2,6,8,10","White,Other",
BRA,2014,expost,21,0.642,1.21,"Rondonia,Roraima,Amapa,Minas Gerais,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country","1 Years Of Education,4 Years Of Education,7 Years Of Education,10 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,"2,6,8,10","Mix-Race,Indigenous,Afro-Descendant",
BRA,2014,expost,22,0.594,2.05,"Rondonia,Roraima,Amapa,Minas Gerais,Espirito Santo,Rio De Janeiro,Sao Paulo,Parana,Santa Catarina,Rio Grande Do Sul,Mato Grosso Do Sul,Mato Grosso,Goias,Distrito Federal,Other Country","2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,"2,6,8,10","Mix-Race,Indigenous,Afro-Descendant",
