Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHI,2010,expost,5,1.17,3.18,"Hebei,Shanxi,Henan,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Yunnan,Gansu",,"Illiterate/Semi-Literate,Primary School",,"Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2010,expost,6,1.861,1.59,"Hebei,Shanxi,Henan,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Yunnan,Gansu",,"Junior High School,Senior High School/Secondary School/Technical School/Vocational Senior School,3-Year College,4-Year College/Bachelor's Degree",,"Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2010,expost,11,0.717,17.77,"Hebei,Henan,Yunnan",,,,"Agricultural, Forestry And Fishery Workers","Han,Mongol,Hui,Tibetan,Zhuang,Other",
CHI,2010,expost,12,0.537,1.32,"Hebei,Henan,Yunnan",,,,"Agricultural, Forestry And Fishery Workers","Miao,Yi,Bouyei,Manchu",
CHI,2010,expost,13,1.298,1.81,Guangxi Zhuang Autonomous Region,,,,"Agricultural, Forestry And Fishery Workers",,
CHI,2010,expost,15,0.678,8.41,"Shanxi,Sichuan",,,,"Agricultural, Forestry And Fishery Workers","Han,Tibetan",
CHI,2010,expost,16,0.478,1.24,"Shanxi,Sichuan",,,,"Agricultural, Forestry And Fishery Workers",Yi,
CHI,2010,expost,20,0.626,1.3,Guizhou,"Illiterate/Semi-Literate,Primary School,4-Year College/Bachelor's Degree,Master's Degree",,,"Agricultural, Forestry And Fishery Workers","Han,Bouyei",
CHI,2010,expost,21,0.545,1.23,Guizhou,"Illiterate/Semi-Literate,Primary School,4-Year College/Bachelor's Degree,Master's Degree",,,"Agricultural, Forestry And Fishery Workers","Hui,Miao,Other",
CHI,2010,expost,22,0.667,9.86,Gansu,"Illiterate/Semi-Literate,Primary School,4-Year College/Bachelor's Degree,Master's Degree",,,"Agricultural, Forestry And Fishery Workers",,
CHI,2010,expost,23,0.893,1.94,"Guizhou,Gansu","Junior High School,Senior High School/Secondary School/Technical School/Vocational Senior School,3-Year College,Doctoral Degree",,,"Agricultural, Forestry And Fishery Workers",,
