Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHL,2013,expost,6,0.624,9.9,"Tarapca,Valparaiso,Libertador,Maule,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Female
CHL,2013,expost,7,0.749,2.62,"Antofagasta,Atacama,Coquimbo,Metropolitana De Santiago","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Female
CHL,2013,expost,11,0.665,3.03,"Tarapca,Valparaiso,Libertador,Maule,Arica And Perinacota","2 Years Of Education,3 Years Of Education,9 Years Of Education","2 Years Of Education,7 Years Of Education",,,,Male
CHL,2013,expost,12,0.683,1.06,"Tarapca,Valparaiso,Libertador,Maule,Arica And Perinacota","2 Years Of Education,3 Years Of Education,9 Years Of Education","1 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education",,,,Male
CHL,2013,expost,13,0.828,2.42,"Tarapca,Valparaiso,Libertador,Maule,Arica And Perinacota","1 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Male
CHL,2013,expost,14,0.978,1.6,"Antofagasta,Atacama,Coquimbo,Metropolitana De Santiago","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Male
CHL,2013,expost,17,0.511,6.75,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education",,,,,Female
CHL,2013,expost,18,0.553,5.03,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education",,,,,Male
CHL,2013,expost,22,0.568,3.2,"Biobio,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education",,,,Female
CHL,2013,expost,23,0.633,1.45,"Biobio,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","4 Years Of Education,7 Years Of Education",,,,Female
CHL,2013,expost,24,0.535,4.5,"Araucania,Los Lagos","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Female
CHL,2013,expost,25,0.656,5.84,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Male
CHL,2013,expost,30,0.928,2.62,"Tarapca,Magallanes,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","6 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education",,,,Female
CHL,2013,expost,31,0.993,1.12,"Antofagasta,Atacama,Coquimbo,Metropolitana De Santiago","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","6 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education",,,,Female
CHL,2013,expost,32,0.755,2.26,"Tarapca,Antofagasta,Atacama,Coquimbo,Magallanes,Metropolitana De Santiago,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Female
CHL,2013,expost,35,0.636,1.74,"Valparaiso,Libertador,Maule,Biobio,Araucania,Los Lagos,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","6 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education",,,,Female
