Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CIV,2018,expost,4,1.397,2.55,,,No School,"Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Employer",,Muslim,
CIV,2018,expost,5,1.245,3.47,,,No School,"Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Employer",,"Christian,Animist,Other,Atheist",
CIV,2018,expost,6,1.812,3.56,,,"Primary,Secondary I Cycle,Secondary Ii Cycle,Superior","Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Employer",,,
CIV,2018,expost,11,0.99,1.2,,No School,,"Manual Worker,Other",,Muslim,
CIV,2018,expost,12,0.894,38.74,,No School,,Self Employed,,Muslim,
CIV,2018,expost,14,0.892,10.89,,No School,,"Manual Worker,Self Employed,Other"," Middle Manager,Unskilled Worker,Employer,Other","Christian,Other",
CIV,2018,expost,15,0.967,17.86,,No School,,"Manual Worker,Self Employed,Other","Skilled Worker,Manual Worker,Self Employed","Christian,Other",
CIV,2018,expost,18,1.097,4.22,,Primary,,"Manual Worker,Self Employed,Other","Senior Executive,Skilled Worker,Unskilled Worker,Self Employed","Muslim,Christian,Other",
CIV,2018,expost,19,1.43,1.52,,"Secondary I Cycle,Secondary Ii Cycle,Superior",,"Manual Worker,Self Employed,Other","Senior Executive,Skilled Worker,Unskilled Worker,Self Employed","Muslim,Christian,Other",
CIV,2018,expost,20,1.085,1.96,,"Primary,Secondary I Cycle,Secondary Ii Cycle,Superior",,"Manual Worker,Self Employed,Other"," Middle Manager,Manual Worker,Employer,Other","Muslim,Christian,Other",
CIV,2018,expost,22,0.711,12.91,,"No School,Superior",,"Manual Worker,Self Employed,Other",,"Animist,Atheist",
CIV,2018,expost,23,0.715,1.13,,"Primary,Secondary I Cycle,Secondary Ii Cycle",,"Manual Worker,Self Employed,Other",,"Animist,Atheist",
