Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CY,2019,expost,6,0.792,8.49,Local,"Unknown,Low","Unknown,Low","Dead/Unknown/Not Working,Manager,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,expost,7,0.83,27.34,Local,"Unknown,Low","Unknown,Low","Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,expost,8,0.89,3.72,Local,"Unknown,Low","Medium,High",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,expost,11,1.045,17.03,Local,Medium,,,"Dead/Unknown/Not Working,Service,Agriculture,Elementary",,
CY,2019,expost,12,0.906,1.43,Local,Medium,,,"Craft/Trades,Plant Operator",,
CY,2019,expost,14,0.955,1.0,Local,High,,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,expost,15,1.332,3.37,Local,High,,"Manager,Professional,Technician,Plant Operator,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,expost,20,0.643,1.98,European Union,"Unknown,Low,Medium","Unknown,Low",,"Dead/Unknown/Not Working,Plant Operator",,
CY,2019,expost,21,0.773,1.67,European Union,"Unknown,Low,Medium","Unknown,Low",,"Service,Agriculture,Craft/Trades,Elementary",,
CY,2019,expost,22,0.621,5.33,Other,"Unknown,Low,Medium","Unknown,Low",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,expost,23,0.815,5.58,"European Union,Other","Unknown,Low,Medium","Medium,High",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,expost,24,0.89,1.69,"European Union,Other",High,,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2019,expost,27,1.174,7.85,Local,,,"Dead/Unknown/Not Working,Clerical,Service,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
CY,2019,expost,30,1.481,1.5,Local,,"Low,Medium","Manager,Professional","Manager,Professional,Technician,Clerical",,
CY,2019,expost,31,1.609,1.83,Local,,"Low,Medium","Technician,Agriculture,Armed Forces","Manager,Professional,Technician,Clerical",,
CY,2019,expost,32,1.892,6.62,Local,,High,"Manager,Professional,Technician,Agriculture,Armed Forces","Manager,Professional,Technician,Clerical",,
CY,2019,expost,33,1.1,3.57,"European Union,Other",,,,"Manager,Professional,Technician,Clerical",,
