Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
DE,2005,expost,5,0.791,18.54,,"Unknown,Medium",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
DE,2005,expost,7,0.817,16.73,,,"Unknown,Medium","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
DE,2005,expost,8,0.89,7.35,,,High,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
DE,2005,expost,10,1.056,12.97,,"Unknown,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces",,,Male
DE,2005,expost,11,0.908,15.72,,"Unknown,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces",,,Female
DE,2005,expost,14,0.922,7.53,,"Low,High",,"Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
DE,2005,expost,16,0.984,1.15,,"Low,High",Medium,"Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Clerical",,
DE,2005,expost,17,1.155,3.66,,"Low,High",High,"Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Clerical",,
DE,2005,expost,19,1.168,1.45,,"Low,High",,"Professional,Technician,Clerical","Manager,Professional,Service,Agriculture,Craft/Trades,Elementary",,
DE,2005,expost,20,1.502,2.24,,"Low,High",,"Professional,Technician,Clerical","Technician,Clerical,Plant Operator",,
DE,2005,expost,24,1.542,3.11,,,,"Manager,Technician","Manager,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
DE,2005,expost,26,1.741,2.33,,,,Professional,"Manager,Technician,Craft/Trades,Plant Operator",,
DE,2005,expost,27,1.711,1.79,,,,Professional,"Clerical,Service,Agriculture,Elementary",,
DE,2005,expost,28,1.946,2.26,,,,"Manager,Professional,Technician",Professional,,
DE,2005,expost,30,1.494,1.34,,,,"Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Agriculture",,
DE,2005,expost,31,1.102,1.82,,,,"Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Clerical,Service,Craft/Trades,Plant Operator,Elementary",,
