Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ECU,2006,expost,8,0.429,3.47,"North,Litoral",,"1 Years Of Education,8 Years Of Education,11 Years Of Education","Unemployed,Labourer,Domestic Service,Other","Unemployed,Self-Employed,Domestic Service,Other",,
ECU,2006,expost,10,0.463,1.51,"North,Litoral",,"1 Years Of Education,8 Years Of Education,11 Years Of Education","Unemployed,Labourer,Domestic Service,Other","Labourer,Employee","Afro-descendant,Mix-race,White",
ECU,2006,expost,11,0.324,2.04,"North,Litoral",,"1 Years Of Education,8 Years Of Education,11 Years Of Education","Unemployed,Labourer,Domestic Service,Other","Labourer,Employee",Indigenous,
ECU,2006,expost,12,0.498,1.97,"North,Litoral","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","1 Years Of Education,8 Years Of Education,11 Years Of Education","Unemployed,Labourer,Domestic Service,Other",,,
ECU,2006,expost,13,0.273,2.23,Center,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","1 Years Of Education,8 Years Of Education,11 Years Of Education","Unemployed,Labourer,Domestic Service,Other",,,
ECU,2006,expost,16,0.457,2.86,"North,Center,Litoral","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,10 Years Of Education","Unemployed,Labourer,Domestic Service,Other","Unemployed,Domestic Service",,
ECU,2006,expost,17,0.568,1.52,"North,Center,Litoral","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,10 Years Of Education","Unemployed,Labourer,Domestic Service,Other","Employer,Self-Employed,Labourer,Employee,Other",,
ECU,2006,expost,18,0.55,1.09,"North,Center,Litoral","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","6 Years Of Education,7 Years Of Education,9 Years Of Education,12 Years Of Education,14 Years Of Education,15 Years Of Education","Unemployed,Labourer,Domestic Service,Other",,,
ECU,2006,expost,22,0.543,7.04,South,1 Years Of Education,,"Unemployed,Labourer,Domestic Service,Other","Unemployed,Labourer,Other","Afro-descendant,White",
ECU,2006,expost,23,0.425,3.15,South,1 Years Of Education,,"Unemployed,Labourer,Domestic Service,Other","Unemployed,Labourer,Other","Indigenous,Mix-race",
ECU,2006,expost,24,0.712,1.0,South,1 Years Of Education,,"Unemployed,Labourer,Domestic Service,Other","Self-Employed,Employee,Domestic Service",,
ECU,2006,expost,27,0.517,1.75,South,"2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","1 Years Of Education,8 Years Of Education,11 Years Of Education","Unemployed,Labourer,Domestic Service,Other","Unemployed,Employee,Other",,
ECU,2006,expost,28,0.623,1.17,South,"2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","1 Years Of Education,8 Years Of Education,11 Years Of Education","Unemployed,Labourer,Domestic Service,Other","Employer,Self-Employed,Labourer,Domestic Service",,
ECU,2006,expost,30,0.774,5.29,South,"2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education","2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,10 Years Of Education,12 Years Of Education","Unemployed,Labourer,Domestic Service,Other","Unemployed,Labourer,Other",,
