Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
EE,2005,expost,3,0.87,53.95,,"Unknown,Low,Medium,High","Unknown,Low,Medium,High",,,,
EE,2005,expost,5,0.996,27.24,,"Unknown,Low,Medium,High",,"Dead/Unknown/Not Working,Professional,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
EE,2005,expost,7,1.354,1.06,,"Low,Medium,High",,"Manager,Technician",,,
EE,2005,expost,8,1.272,2.49,,,,"Manager,Technician",,,
EE,2005,expost,12,1.462,1.92,,,"Unknown,Medium,High",Manager,,,
EE,2005,expost,13,1.269,3.15,,,"Unknown,Medium,High","Professional,Technician,Clerical",,,
EE,2005,expost,15,1.363,2.2,,,Low,"Manager,Professional,Technician,Clerical",,,
EE,2005,expost,17,1.744,1.34,,,,Manager,,,
EE,2005,expost,18,1.244,1.17,,,,"Professional,Technician,Clerical",,,
EE,2005,expost,19,1.1,5.48,,,,"Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
