Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ES,2005,expost,6,0.809,19.24,Local,"Unknown,Low","Unknown,Low",,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary",,
ES,2005,expost,7,0.924,6.06,Local,"Medium,High","Unknown,Low",,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary",,
ES,2005,expost,8,0.923,4.14,Local,"Unknown,Low,Medium,High","Unknown,Low",,"Manager,Professional,Technician,Clerical,Service,Craft/Trades",,
ES,2005,expost,9,0.688,1.47,"European Union,Other","Unknown,Low,Medium,High","Unknown,Low",,,,
ES,2005,expost,14,0.904,13.7,,"Unknown,Medium,High","Medium,High","Dead/Unknown/Not Working,Professional,Agriculture,Elementary","Dead/Unknown/Not Working,Manager,Clerical,Service,Agriculture",,
ES,2005,expost,15,0.912,5.05,,"Unknown,Medium,High","Medium,High","Dead/Unknown/Not Working,Professional,Agriculture,Elementary","Professional,Technician,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
ES,2005,expost,16,0.818,2.19,,Low,"Medium,High","Dead/Unknown/Not Working,Professional,Agriculture,Elementary",,,
ES,2005,expost,18,0.989,17.83,,"Unknown,Low,Medium,High","Medium,High","Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Manager,Technician,Agriculture,Craft/Trades,Plant Operator,Elementary",,
ES,2005,expost,19,1.114,2.88,,"Unknown,Low,Medium,High","Medium,High","Craft/Trades,Plant Operator","Professional,Clerical,Service,Armed Forces",,
ES,2005,expost,22,1.113,9.58,,"Low,Medium","Medium,High","Manager,Technician,Clerical,Service,Armed Forces",,,
ES,2005,expost,24,1.258,1.02,,High,"Medium,High","Manager,Clerical",,,
ES,2005,expost,25,1.054,1.29,,High,"Medium,High","Technician,Service,Armed Forces",,,
ES,2005,expost,26,1.267,1.16,,"Unknown,Low,Medium,High",,"Manager,Technician,Clerical,Service,Armed Forces",,,
ES,2005,expost,30,1.215,4.6,Local,,,,"Dead/Unknown/Not Working,Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
ES,2005,expost,32,1.411,3.52,Local,,,,"Dead/Unknown/Not Working,Manager,Agriculture,Plant Operator",,
ES,2005,expost,33,1.25,1.16,Local,,,,"Service,Craft/Trades,Elementary",,
ES,2005,expost,35,1.701,2.12,Local,,,"Dead/Unknown/Not Working,Manager,Professional,Armed Forces","Professional,Technician,Clerical,Armed Forces",,
ES,2005,expost,36,1.337,1.75,Local,,,"Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Professional,Technician,Clerical,Armed Forces",,
ES,2005,expost,37,0.944,1.24,"European Union,Other",,,,,,
