Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
FI,2005,expost,7,0.829,12.33,,"Unknown,High","Unknown,Low,Medium,High","Dead/Unknown/Not Working,Service,Agriculture","Dead/Unknown/Not Working,Elementary",,
FI,2005,expost,9,0.901,1.19,,"Unknown,High","Unknown,Low,Medium","Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Elementary",,
FI,2005,expost,11,0.842,2.8,,"Unknown,High",High,"Craft/Trades,Elementary","Dead/Unknown/Not Working,Elementary",,
FI,2005,expost,12,0.891,1.75,,"Unknown,High",High,Plant Operator,"Dead/Unknown/Not Working,Elementary",,
FI,2005,expost,13,0.908,5.68,,"Low,Medium","Unknown,Low,Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Elementary",,
FI,2005,expost,15,0.877,9.56,,"Unknown,Low,Medium,High",Low,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator",,
FI,2005,expost,17,1.04,7.84,,Unknown,"Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator",,
FI,2005,expost,19,1.107,2.0,,"Low,Medium,High","Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Clerical",,
FI,2005,expost,20,0.961,24.63,,"Low,Medium,High","Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Professional,Technician,Service,Agriculture,Craft/Trades,Plant Operator",,
FI,2005,expost,21,1.056,21.03,,"Unknown,Low,Medium,High","Unknown,Low,Medium,High","Manager,Professional,Technician,Clerical,Armed Forces",,,
FI,2005,expost,23,1.215,1.11,,"Unknown,Medium",,,,,
FI,2005,expost,24,1.497,2.62,,High,,,,,
FI,2005,expost,27,1.29,1.5,,,"Low,Medium,High",,"Dead/Unknown/Not Working,Manager,Professional,Service,Agriculture",,
FI,2005,expost,28,1.623,1.08,,,"Low,Medium,High",,"Technician,Clerical,Craft/Trades,Plant Operator,Elementary",,
FI,2005,expost,29,1.809,4.89,,,,,,,
