Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
FR,2019,expost,5,0.696,2.03,"Local,European Union",Unknown,Unknown,,,,
FR,2019,expost,6,0.856,4.43,"Local,European Union",Unknown,Low,,,,
FR,2019,expost,10,0.969,35.12,Local,"Low,Medium,High","Unknown,Low","Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Armed Forces",,,
FR,2019,expost,11,0.792,1.02,European Union,"Low,Medium,High","Unknown,Low","Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Armed Forces",,,
FR,2019,expost,12,1.444,2.99,"Local,European Union","Low,Medium,High","Unknown,Low",Manager,,,
FR,2019,expost,14,0.832,15.75,"Local,European Union","Low,Medium,High","Unknown,Low","Plant Operator,Elementary","Dead/Unknown/Not Working,Manager,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
FR,2019,expost,15,0.987,1.31,"Local,European Union","Low,Medium,High","Unknown,Low","Plant Operator,Elementary",Clerical,,
FR,2019,expost,17,0.686,1.33,Other,"Unknown,High","Unknown,Low",,,,
FR,2019,expost,18,0.675,5.25,Other,"Low,Medium","Unknown,Low",,,,
FR,2019,expost,22,1.015,7.29,Local,"Unknown,Low","Medium,High","Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
FR,2019,expost,25,1.011,2.2,Local,Medium,"Medium,High","Dead/Unknown/Not Working,Service,Elementary,Armed Forces",,,
FR,2019,expost,26,1.17,5.93,Local,Medium,"Medium,High","Technician,Clerical,Agriculture,Craft/Trades,Plant Operator",,,
FR,2019,expost,27,1.202,4.61,Local,High,"Medium,High","Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
FR,2019,expost,28,0.911,1.35,"European Union,Other",,"Medium,High","Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
FR,2019,expost,29,1.451,9.39,,,"Medium,High","Manager,Professional",,,
