Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GTM,2011,expost,6,0.951,1.57,"Guatemala,Other Country",,,,,,
GTM,2011,expost,8,0.689,1.69,Sacatepequez,,,,,,
GTM,2011,expost,9,0.831,1.64,Escuintla,,,,,,
GTM,2011,expost,10,1.162,2.42,"Guatemala,Sacatepequez,Escuintla,Other Country",,"3 Years Of Education,6 Years Of Education",,,,
GTM,2011,expost,11,1.267,4.75,"Guatemala,Sacatepequez,Escuintla,Other Country",3 Years Of Education,,,,,
GTM,2011,expost,18,0.663,8.74,"El Progreso,Santa Rosa,Solola,Quetzaltenango,Suchitepequez,Peten,Jutiapa",,,,,"White,Mix-Race,Afro-Descendant",
GTM,2011,expost,19,0.669,3.04,"Chimaltenengo,Retalhuleu,Quiche",,,,,"White,Mix-Race,Afro-Descendant",
GTM,2011,expost,20,0.789,4.2,"El Progreso,Chimaltenengo,Santa Rosa,Solola,Quetzaltenango,Suchitepequez,Retalhuleu,Quiche,Peten,Jutiapa",,"3 Years Of Education,6 Years Of Education",,,"White,Mix-Race,Afro-Descendant",
GTM,2011,expost,21,1.603,2.61,"Totonicapan,Alta Verapaz,Izabal",,,,,"White,Mix-Race,Afro-Descendant",
GTM,2011,expost,24,0.543,4.66,"El Progreso,Santa Rosa,Totonicapan,Suchitepequez,Retalhuleu,Jutiapa",,,,,Indigenous,
GTM,2011,expost,26,0.572,7.35,"Chimaltenengo,Solola,Quetzaltenango,Izabal",,,,,Indigenous,
GTM,2011,expost,27,0.54,6.81,"Quiche,Alta Verapaz,Peten",,,,,Indigenous,
GTM,2011,expost,29,0.778,1.19,"El Progreso,Santa Rosa,Quetzaltenango,Retalhuleu,Quiche,Alta Verapaz,Izabal,Jutiapa",,"3 Years Of Education,6 Years Of Education",,,Indigenous,
GTM,2011,expost,30,0.646,2.03,"Chimaltenengo,Solola,Totonicapan,Suchitepequez,Peten",,"3 Years Of Education,6 Years Of Education",,,Indigenous,
GTM,2011,expost,33,0.532,8.79,"San Marcos,Zacapa,Chiquimula",,,,,,
GTM,2011,expost,34,0.508,6.78,"Huehuetenango,Baja Verapaz,Jalapa",,,,,,
GTM,2011,expost,36,0.806,1.18,"San Marcos,Zacapa",,"3 Years Of Education,6 Years Of Education",,,,
GTM,2011,expost,37,1.01,1.73,"Huehuetenango,Baja Verapaz,Chiquimula,Jalapa",,"3 Years Of Education,6 Years Of Education",,,,
GTM,2011,expost,41,0.721,2.62,"El Progreso,Chimaltenengo,Solola,Totonicapan,Retalhuleu,San Marcos,Huehuetenango",3 Years Of Education,,,,,
GTM,2011,expost,42,0.751,1.0,"Quetzaltenango,Quiche,Jalapa",3 Years Of Education,,,,,
GTM,2011,expost,44,0.934,4.26,"El Progreso,Chimaltenengo,Solola,Totonicapan,Quetzaltenango,Huehuetenango,Quiche",3 Years Of Education,"3 Years Of Education,6 Years Of Education",,,,
GTM,2011,expost,45,1.053,2.14,"Retalhuleu,San Marcos,Jalapa",3 Years Of Education,"3 Years Of Education,6 Years Of Education",,,,
GTM,2011,expost,47,1.158,3.15,"Santa Rosa,Suchitepequez,Peten,Izabal",3 Years Of Education,,,,,
GTM,2011,expost,49,1.179,1.34,"Baja Verapaz,Alta Verapaz,Zacapa,Chiquimula,Jutiapa",3 Years Of Education,,,,,
GTM,2011,expost,50,1.283,2.74,"Baja Verapaz,Alta Verapaz,Zacapa,Chiquimula,Jutiapa",3 Years Of Education,"3 Years Of Education,6 Years Of Education",,,,
GTM,2011,expost,55,1.544,1.5,"Guatemala,Sacatepequez,Escuintla,Santa Rosa,Quiche,Peten,Zacapa,Other Country",6 Years Of Education,3 Years Of Education,,,,
GTM,2011,expost,56,1.632,1.57,"Guatemala,Sacatepequez,Escuintla,Santa Rosa,Quiche,Peten,Zacapa,Other Country",6 Years Of Education,6 Years Of Education,,,,
GTM,2011,expost,59,2.095,1.77,"El Progreso,Chimaltenengo,Solola,Totonicapan,Suchitepequez,Retalhuleu,San Marcos,Izabal,Jalapa",6 Years Of Education,6 Years Of Education,,,,
GTM,2011,expost,60,1.198,1.01,"Quetzaltenango,Huehuetenango,Baja Verapaz,Alta Verapaz,Chiquimula,Jutiapa",6 Years Of Education,6 Years Of Education,,,,
GTM,2011,expost,61,1.416,1.37,"El Progreso,Chimaltenengo,Solola,Totonicapan,Quetzaltenango,Suchitepequez,Retalhuleu,San Marcos,Huehuetenango,Baja Verapaz,Alta Verapaz,Izabal,Chiquimula,Jalapa,Jutiapa",6 Years Of Education,3 Years Of Education,,,,
GTM,2011,expost,62,2.067,1.63,,6 Years Of Education,,,,,
GTM,2011,expost,64,2.49,1.1,,,"3 Years Of Education,6 Years Of Education",,,,
GTM,2011,expost,65,3.913,1.62,,,,,,,
