Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IT,2005,expost,5,0.789,8.96,,"Unknown,Medium","Unknown,Low",,"Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2005,expost,9,0.854,5.92,,"Unknown,Medium","Medium,High","Dead/Unknown/Not Working,Elementary",Dead/Unknown/Not Working,,
IT,2005,expost,10,0.899,15.99,,"Unknown,Medium","Medium,High","Clerical,Service,Agriculture,Craft/Trades,Plant Operator",Dead/Unknown/Not Working,,
IT,2005,expost,11,0.932,6.49,,"Unknown,Medium","Medium,High","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Agriculture,Elementary",,
IT,2005,expost,12,1.037,2.68,,"Unknown,Medium","Medium,High","Manager,Professional,Technician,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2005,expost,15,0.732,8.91,,Low,,"Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical,Agriculture,Craft/Trades,Plant Operator,Armed Forces",Dead/Unknown/Not Working,,
IT,2005,expost,16,0.642,2.92,,Low,,"Service,Elementary",Dead/Unknown/Not Working,,
IT,2005,expost,17,0.771,3.58,,Low,,,"Agriculture,Elementary",,
IT,2005,expost,22,1.008,1.12,,"Unknown,Low,Medium","Unknown,Medium","Dead/Unknown/Not Working,Service,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician",,
IT,2005,expost,23,1.046,6.35,,"Unknown,Low,Medium","Unknown,Medium","Dead/Unknown/Not Working,Service,Craft/Trades,Plant Operator,Elementary,Armed Forces","Clerical,Service,Craft/Trades,Plant Operator",,
IT,2005,expost,24,0.945,1.6,,"Unknown,Low,Medium",Low,"Dead/Unknown/Not Working,Service,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator",,
IT,2005,expost,26,1.091,1.42,,"Unknown,Low,Medium","Unknown,Low,Medium","Manager,Professional","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator",,
IT,2005,expost,27,1.119,1.46,,"Unknown,Low,Medium","Unknown,Low,Medium","Technician,Clerical,Agriculture","Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator",,
IT,2005,expost,28,1.249,3.34,,"Unknown,Low,Medium",High,,"Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator",,
IT,2005,expost,33,0.993,6.79,,High,,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Agriculture,Armed Forces",,
IT,2005,expost,34,1.143,2.62,,,,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Agriculture,Armed Forces",,
IT,2005,expost,36,1.191,1.78,,High,"Unknown,High","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Service,Craft/Trades,Plant Operator,Elementary",,
IT,2005,expost,37,1.134,2.79,,High,"Low,Medium","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Service,Craft/Trades,Plant Operator,Elementary",,
IT,2005,expost,39,1.408,3.67,,High,,"Manager,Professional","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
IT,2005,expost,40,1.228,3.07,,High,,Technician,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
IT,2005,expost,43,1.202,2.14,,High,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Clerical",,
IT,2005,expost,45,1.512,1.33,,High,,"Manager,Professional,Technician,Clerical","Manager,Professional",,
IT,2005,expost,46,1.471,3.18,,High,,"Manager,Professional,Technician,Clerical","Technician,Clerical",,
IT,2005,expost,47,1.865,1.9,,,,,"Manager,Professional,Technician,Clerical",,
