Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
KOR,2013,expost,5,1.108,10.48,,"No Schooling,Elementary School,College/University,Graduate Degree",,"Regular/Standard Wage Worker,Employer (With Employees)",,"None,Protestant,Daesoon Faith",
KOR,2013,expost,6,0.938,27.21,,"No Schooling,Elementary School,College/University,Graduate Degree",,"Self-Employed(With No Employee),Family Worker",,"None,Protestant,Daesoon Faith",
KOR,2013,expost,8,1.004,3.62,,"Middle School,High School,Community College","No Schooling,College/University","Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,"None,Protestant,Daesoon Faith",
KOR,2013,expost,11,0.948,11.86,"Seoul,Busan,Daegu,Daejeon,Gwangju,Gyeonggi-Do,Gangwon-Do,Chungcheongbuk-Do,Jeollanam-Do,Gyeongsangbuk-Do","Middle School,High School,Community College","Elementary School,Middle School,High School,Community College,Graduate Degree","Regular/Standard Wage Worker,Employer (With Employees),Family Worker",,"None,Protestant,Daesoon Faith",
KOR,2013,expost,12,1.057,4.74,"Incheon,Ulsan,Chungcheongnam-Do,Jeollabuk-Do,Gyeonsangnam-Do,Jeju-Do,North Korea","Middle School,High School,Community College","Elementary School,Middle School,High School,Community College,Graduate Degree","Regular/Standard Wage Worker,Employer (With Employees),Family Worker",,"None,Protestant,Daesoon Faith",
KOR,2013,expost,13,0.841,10.14,,"Middle School,High School,Community College","Elementary School,Middle School,High School,Community College,Graduate Degree",Self-Employed(With No Employee),,"None,Protestant,Daesoon Faith",
KOR,2013,expost,15,1.196,12.82,,"No Schooling,Middle School,Community College,College/University",,"Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,"Buddhist,Catholic,Confucian,Won Buddhist,Other",
KOR,2013,expost,17,1.078,10.08,,"Elementary School,High School,Graduate Degree","No Schooling,Elementary School,High School,Community College,Graduate Degree","Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,"Buddhist,Catholic,Confucian,Won Buddhist,Other",
KOR,2013,expost,18,1.659,1.35,,"Elementary School,High School,Graduate Degree","Middle School,College/University","Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,"Buddhist,Catholic,Confucian,Won Buddhist,Other",
KOR,2013,expost,19,0.773,7.69,,,,"Irregular/Nonstandard Wage Worker,No Job/Housewife",,,
