Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
LU,2005,expost,5,0.873,18.17,Local,"Unknown,Low,Medium",,"Dead/Unknown/Not Working,Service,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Manager,Service,Craft/Trades,Plant Operator,Elementary",,
LU,2005,expost,6,1.042,1.54,Local,"Unknown,Low,Medium",,"Dead/Unknown/Not Working,Service,Craft/Trades,Plant Operator,Elementary","Professional,Technician,Clerical,Agriculture",,
LU,2005,expost,7,1.06,8.92,Local,"Unknown,Low,Medium",,"Manager,Professional,Technician,Clerical,Agriculture,Armed Forces",,,
LU,2005,expost,11,0.736,17.99,European Union,"Unknown,Low,Medium","Unknown,Low,Medium","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
LU,2005,expost,12,0.984,1.3,European Union,"Unknown,Low,Medium",High,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
LU,2005,expost,13,0.963,2.33,European Union,"Unknown,Low,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces",,,
LU,2005,expost,16,0.56,1.68,Other,"Unknown,Low,Medium","Unknown,Medium",,"Dead/Unknown/Not Working,Elementary",,
LU,2005,expost,17,0.679,1.28,Other,"Unknown,Low,Medium",Low,,"Dead/Unknown/Not Working,Elementary",,
LU,2005,expost,18,0.876,0.99,Other,"Unknown,Low,Medium",,,"Manager,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator",,
LU,2005,expost,22,1.1,16.08,"Local,European Union",High,"Unknown,Medium",,,,
LU,2005,expost,23,1.119,9.7,"Local,European Union",High,,,,,
LU,2005,expost,24,0.904,1.9,Other,High,"Unknown,Medium",,,,
LU,2005,expost,27,1.293,13.66,,High,"Low,High",,"Dead/Unknown/Not Working,Professional,Technician,Clerical,Service,Agriculture,Elementary",,
LU,2005,expost,28,1.151,1.25,,High,"Low,High",,"Manager,Craft/Trades,Plant Operator,Armed Forces",,
LU,2005,expost,30,1.351,1.88,,,"Low,High","Manager,Technician,Service,Craft/Trades,Plant Operator,Elementary",,,
LU,2005,expost,31,1.894,1.34,,,"Low,High","Professional,Clerical,Agriculture",,,
