Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
MEX,2017,expost,5,0.892,8.99,,"1 Years Of Education,2 Years Of Education,7 Years Of Education,20 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","Officials, Directors And Managers,Professionals And Technicians,Auxiliary Workers In Administrative Activities,Traders And Employees In Sales,Workers In Personal And Custodial Services,Craft, Construction And Other Trades Workers,Industrial Machinery Operators, Chauffeurs And Transport Drivers,Workers In Basic And Support Activities",,,Man
MEX,2017,expost,9,0.684,8.84,,,2 Years Of Education,"Officials, Directors And Managers,Professionals And Technicians,Auxiliary Workers In Administrative Activities,Traders And Employees In Sales,Workers In Personal And Custodial Services,Craft, Construction And Other Trades Workers,Industrial Machinery Operators, Chauffeurs And Transport Drivers,Workers In Basic And Support Activities","Officials, Directors And Managers,Professionals And Technicians,Workers In Personal And Custodial Services,Workers In Basic And Support Activities,Was Not Working",,Woman
MEX,2017,expost,10,0.835,1.19,,,2 Years Of Education,"Officials, Directors And Managers,Professionals And Technicians,Auxiliary Workers In Administrative Activities,Traders And Employees In Sales,Workers In Personal And Custodial Services,Craft, Construction And Other Trades Workers,Industrial Machinery Operators, Chauffeurs And Transport Drivers,Workers In Basic And Support Activities","Auxiliary Workers In Administrative Activities,Traders And Employees In Sales,Agricultural And Fishing Workers,Craft, Construction And Other Trades Workers",,Woman
MEX,2017,expost,11,0.691,1.05,,"1 Years Of Education,2 Years Of Education,7 Years Of Education",2 Years Of Education,"Officials, Directors And Managers,Professionals And Technicians,Auxiliary Workers In Administrative Activities,Traders And Employees In Sales,Workers In Personal And Custodial Services,Craft, Construction And Other Trades Workers,Industrial Machinery Operators, Chauffeurs And Transport Drivers,Workers In Basic And Support Activities",,,Woman
MEX,2017,expost,12,0.787,4.66,,"1 Years Of Education,2 Years Of Education,7 Years Of Education,20 Years Of Education","1 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","Officials, Directors And Managers,Professionals And Technicians,Auxiliary Workers In Administrative Activities,Traders And Employees In Sales,Workers In Personal And Custodial Services,Craft, Construction And Other Trades Workers,Industrial Machinery Operators, Chauffeurs And Transport Drivers,Workers In Basic And Support Activities",,,Woman
MEX,2017,expost,15,1.431,5.65,,"3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education,16 Years Of Education,17 Years Of Education,18 Years Of Education,21 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","Officials, Directors And Managers,Professionals And Technicians,Auxiliary Workers In Administrative Activities,Traders And Employees In Sales,Workers In Personal And Custodial Services",,,Man
MEX,2017,expost,16,1.185,7.82,,"3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education,16 Years Of Education,17 Years Of Education,18 Years Of Education,21 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","Craft, Construction And Other Trades Workers,Industrial Machinery Operators, Chauffeurs And Transport Drivers,Workers In Basic And Support Activities",,,Man
MEX,2017,expost,18,1.19,7.32,,"3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education,16 Years Of Education,17 Years Of Education,18 Years Of Education,21 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","Officials, Directors And Managers,Professionals And Technicians,Auxiliary Workers In Administrative Activities,Traders And Employees In Sales",,,Woman
MEX,2017,expost,19,0.841,13.11,,"3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education,16 Years Of Education,17 Years Of Education,18 Years Of Education,21 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","Workers In Personal And Custodial Services,Craft, Construction And Other Trades Workers,Industrial Machinery Operators, Chauffeurs And Transport Drivers,Workers In Basic And Support Activities",,,Woman
MEX,2017,expost,22,0.716,7.44,"North,North-West,Center-West,South",,7 Years Of Education,"Agricultural And Fishing Workers,Was Not Working",,,
MEX,2017,expost,24,0.577,1.57,Mexico City,,7 Years Of Education,"Agricultural And Fishing Workers,Was Not Working","Traders And Employees In Sales,Agricultural And Fishing Workers,Craft, Construction And Other Trades Workers,Industrial Machinery Operators, Chauffeurs And Transport Drivers",,
MEX,2017,expost,26,0.484,8.55,Mexico City,"8 Years Of Education,12 Years Of Education,14 Years Of Education",7 Years Of Education,"Agricultural And Fishing Workers,Was Not Working","Workers In Personal And Custodial Services,Workers In Basic And Support Activities,Was Not Working",,
MEX,2017,expost,27,0.696,1.57,Mexico City,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,9 Years Of Education,15 Years Of Education,16 Years Of Education",7 Years Of Education,"Agricultural And Fishing Workers,Was Not Working","Workers In Personal And Custodial Services,Workers In Basic And Support Activities,Was Not Working",,
