Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
NGA,2019,expost,5,1.009,16.71, North Central,"No School,Nursery And Pre,Post Primary,Quaranic","No School,Nursery And Pre,Vocational/Technical/Commercial",,,,
NGA,2019,expost,6,1.156,2.0, North Central,"Primary,Secondary,Teacher Training,National Certificate,Vocational/Technical/Commercial,Univerity Level","No School,Nursery And Pre,Vocational/Technical/Commercial",,,,
NGA,2019,expost,8,1.148,1.17, North Central,,Primary,,,,
NGA,2019,expost,9,1.403,1.45, North Central,,"Secondary,Teacher Training,National Certificate,Univerity Level,Quaranic",,,,
NGA,2019,expost,14,1.11,3.63,"South South,South West",No School,,,,Catholic,Female
NGA,2019,expost,15,1.225,3.67,"South South,South West",No School,,,,Catholic,Male
NGA,2019,expost,16,1.321,1.47,"South South,South West",No School,,,,"Islam,Traditional",
NGA,2019,expost,17,1.363,3.77,"South South,South West","Primary,Quaranic",,,,,
NGA,2019,expost,18,1.59,3.93,"South South,South West","Nursery And Pre,Post Primary,Secondary,Teacher Training,National Certificate,Vocational/Technical/Commercial,Univerity Level",,,,,
NGA,2019,expost,23,0.656,4.16,North East,No School,,,,"Catholic,Traditional",
NGA,2019,expost,24,0.73,7.94,North East,No School,,,,Islam,
NGA,2019,expost,27,0.971,1.03,North West,No School,,,,"Catholic,Traditional",
NGA,2019,expost,28,0.881,3.03,North West,No School,,,,Islam,
NGA,2019,expost,30,0.737,2.47,South East,No School,,,,,Female
NGA,2019,expost,31,0.922,3.69,South East,No School,,,,,Male
NGA,2019,expost,33,0.898,8.2,North East,"Nursery And Pre,Quaranic",,,,,
NGA,2019,expost,35,0.988,2.1,North West,"Nursery And Pre,Quaranic","No School,Nursery And Pre,Primary,Secondary",,,,
NGA,2019,expost,36,0.804,22.18,North West,"Nursery And Pre,Quaranic","Univerity Level,Quaranic",,,,
NGA,2019,expost,40,0.865,1.35,"North East,South East","Primary,National Certificate",No School,,,,
NGA,2019,expost,41,1.081,1.56,"North East,South East","Primary,National Certificate","Primary,Secondary,Teacher Training,National Certificate,Vocational/Technical/Commercial,Univerity Level,Quaranic",,,,
NGA,2019,expost,42,1.104,2.31,"North East,South East","Secondary,Teacher Training,Vocational/Technical/Commercial,Univerity Level",,,,,
NGA,2019,expost,43,1.256,2.2,North West,"Primary,Secondary,Teacher Training,National Certificate,Vocational/Technical/Commercial,Univerity Level",,,,,
