Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
NL,2019,expost,6,0.735,2.24,"Local,European Union",Unknown,,"Dead/Unknown/Not Working,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Technician,Agriculture,Craft/Trades",,
NL,2019,expost,7,0.854,1.12,"Local,European Union",Unknown,,"Dead/Unknown/Not Working,Craft/Trades,Plant Operator,Elementary","Professional,Clerical,Service,Plant Operator,Elementary",,
NL,2019,expost,8,0.873,19.73,"Local,European Union",Low,,"Dead/Unknown/Not Working,Craft/Trades,Plant Operator,Elementary",,,
NL,2019,expost,9,1.003,15.6,"Local,European Union","Unknown,Low",,"Manager,Professional,Technician,Clerical,Service,Agriculture,Armed Forces",,,
NL,2019,expost,10,0.671,1.61,Other,"Unknown,Low",,,,,
NL,2019,expost,14,1.035,15.3,Local,"Medium,High",,,"Dead/Unknown/Not Working,Plant Operator",,
NL,2019,expost,15,0.796,1.27,"European Union,Other","Medium,High",,,"Dead/Unknown/Not Working,Plant Operator",,
NL,2019,expost,19,0.938,5.08,,"Medium,High","Unknown,Medium","Dead/Unknown/Not Working,Technician,Clerical,Craft/Trades,Plant Operator,Armed Forces","Service,Agriculture,Craft/Trades,Elementary",,
NL,2019,expost,20,1.02,1.86,,"Medium,High","Unknown,Medium","Service,Agriculture,Elementary","Service,Agriculture,Craft/Trades,Elementary",,
NL,2019,expost,21,0.98,3.42,,"Medium,High","Low,High","Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Service,Agriculture,Craft/Trades,Elementary",,
NL,2019,expost,22,1.051,4.63,,"Medium,High",,"Manager,Professional","Service,Agriculture,Craft/Trades,Elementary",,
NL,2019,expost,25,0.985,1.01,,"Medium,High",,"Dead/Unknown/Not Working,Agriculture","Manager,Professional,Technician,Clerical",,
NL,2019,expost,26,1.201,14.64,,"Medium,High",,"Manager,Professional,Armed Forces","Manager,Professional,Technician,Clerical",,
NL,2019,expost,27,1.125,12.49,,"Medium,High",,"Technician,Clerical,Service,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
