Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PER,2008,expost,5,0.491,2.74,"Amazonas-San Martin-Ucayali,Apurimac,Ayacucho,Cajamarca,Huancavelica,Huánuco,Ica,Junin-Pasco,Loreto,Puno",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"White,Mix-Race",
PER,2008,expost,7,0.374,6.64,"Amazonas-San Martin-Ucayali,Ayacucho,Cajamarca,Huancavelica,Junin-Pasco,Puno",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Indigenous,Afro-Descendant,Other",
PER,2008,expost,8,0.339,3.61,"Apurimac,Huánuco,Ica,Loreto",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Indigenous,Afro-Descendant,Other",
PER,2008,expost,11,0.531,2.48,"Anchash,Lambayeque,Lima,Moquegua-Tacna,Piura-Tumbes",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"White,Mix-Race",
PER,2008,expost,12,0.481,2.14,"Anchash,Lambayeque,Lima,Moquegua-Tacna,Piura-Tumbes",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Indigenous,Afro-Descendant,Other",
PER,2008,expost,13,0.714,1.4,"Arequipa,Cusco-Madre De Dios,La Libertad,Callao",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2008,expost,19,0.601,3.14,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Huancavelica,Huánuco,Ica,Loreto","1 Years Of Education,2 Years Of Education,3 Years Of Education,6 Years Of Education",,,,"White,Mix-Race,Afro-Descendant",
PER,2008,expost,21,0.542,1.24,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Huancavelica,Huánuco,Ica,Loreto","1 Years Of Education,2 Years Of Education,6 Years Of Education",,,,"Indigenous,Other",
PER,2008,expost,22,0.452,2.71,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Huancavelica,Huánuco,Ica,Loreto",3 Years Of Education,,,,"Indigenous,Other",
PER,2008,expost,25,0.615,2.25,"Anchash,Ayacucho,La Libertad,Piura-Tumbes","1 Years Of Education,2 Years Of Education,3 Years Of Education,6 Years Of Education",,,,"White,Indigenous,Other",
PER,2008,expost,26,0.537,2.11,"Junin-Pasco,Lambayeque,Lima,Puno","1 Years Of Education,2 Years Of Education,3 Years Of Education,6 Years Of Education",,,,"White,Indigenous,Other",
PER,2008,expost,27,0.645,2.89,"Anchash,Ayacucho,Junin-Pasco,La Libertad,Lambayeque,Lima,Piura-Tumbes,Puno","1 Years Of Education,2 Years Of Education,3 Years Of Education,6 Years Of Education",,,,"Mix-Race,Afro-Descendant",
PER,2008,expost,29,0.742,1.02,"Amazonas-San Martin-Ucayali,Anchash,Apurimac,Ayacucho,Cajamarca,Huancavelica,Huánuco,Ica,Junin-Pasco,La Libertad,Lambayeque,Lima,Loreto,Piura-Tumbes,Puno","1 Years Of Education,2 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2008,expost,31,0.634,5.74,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Huancavelica,Huánuco,Ica,Loreto,Puno","3 Years Of Education,6 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2008,expost,32,0.77,5.39,"Anchash,Ayacucho,Junin-Pasco,La Libertad,Lambayeque,Lima,Piura-Tumbes","3 Years Of Education,6 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2008,expost,35,0.784,4.03,"Amazonas-San Martin-Ucayali,Anchash,Huancavelica,Junin-Pasco,La Libertad,Lambayeque,Lima,Loreto,Piura-Tumbes","4 Years Of Education,5 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,12 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2008,expost,37,0.614,1.54,"Apurimac,Ayacucho,Cajamarca,Huánuco,Ica,Puno","4 Years Of Education,5 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2008,expost,38,0.808,1.12,"Apurimac,Ayacucho,Cajamarca,Huánuco,Ica,Puno","8 Years Of Education,9 Years Of Education,10 Years Of Education,12 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2008,expost,39,0.981,1.38,"Amazonas-San Martin-Ucayali,Anchash,Apurimac,Ayacucho,Cajamarca,Huancavelica,Huánuco,Ica,Junin-Pasco,La Libertad,Lambayeque,Lima,Loreto,Piura-Tumbes,Puno","7 Years Of Education,11 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2008,expost,42,0.846,1.77,"Arequipa,Cusco-Madre De Dios,Callao,Moquegua-Tacna","1 Years Of Education,3 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education,12 Years Of Education,15 Years Of Education",,,,,
