Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PL,2005,expost,5,0.85,5.75,,"Unknown,Low,High",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Service,Plant Operator,Armed Forces",,
PL,2005,expost,7,0.747,15.32,,"Unknown,Low,High","Unknown,Low,Medium","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Agriculture,Craft/Trades,Elementary",,
PL,2005,expost,10,0.773,1.17,,"Unknown,Low,High",High,"Dead/Unknown/Not Working,Plant Operator,Elementary","Agriculture,Craft/Trades,Elementary",,
PL,2005,expost,11,0.746,1.77,,"Unknown,Low,High",High,"Service,Craft/Trades","Agriculture,Craft/Trades,Elementary",,
PL,2005,expost,12,0.59,1.28,,"Unknown,Low,High",High,Agriculture,"Agriculture,Craft/Trades,Elementary",,
PL,2005,expost,15,0.856,23.93,,Medium,,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
PL,2005,expost,16,0.959,7.56,,Medium,,"Service,Craft/Trades","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
PL,2005,expost,17,0.987,16.38,,,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
PL,2005,expost,20,0.974,1.49,,"Unknown,Low,High",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Clerical",,
PL,2005,expost,21,1.078,2.01,,"Unknown,Low,High",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Professional,Technician",,
PL,2005,expost,22,1.244,6.22,,Medium,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician,Clerical",,
PL,2005,expost,25,1.079,5.29,,"Low,Medium,High","Unknown,Low,Medium,High","Manager,Professional,Technician,Clerical,Armed Forces",,,
PL,2005,expost,26,1.329,6.54,,"Low,Medium,High",,"Manager,Professional,Technician,Clerical,Armed Forces",,,
PL,2005,expost,28,1.784,3.9,,,,"Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Professional,Technician,Agriculture,Armed Forces",,
PL,2005,expost,29,1.6,1.38,,,,"Manager,Professional,Technician,Clerical,Armed Forces","Manager,Clerical,Service,Craft/Trades,Plant Operator,Elementary",,
