Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PT,2019,expost,6,0.842,4.24,,"Unknown,Medium,High",,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Agriculture,Craft/Trades",,
PT,2019,expost,8,0.79,17.55,Local,Low,,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Agriculture,Craft/Trades",,
PT,2019,expost,9,0.835,1.15,"European Union,Other",Low,,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Agriculture,Craft/Trades",,
PT,2019,expost,10,0.826,9.42,,,,"Dead/Unknown/Not Working,Agriculture,Elementary","Service,Plant Operator,Elementary",,
PT,2019,expost,14,0.95,12.79,,"Unknown,Low,High",,"Clerical,Service,Plant Operator","Dead/Unknown/Not Working,Elementary",,
PT,2019,expost,15,0.936,7.03,,"Unknown,Low,High",,"Clerical,Service,Plant Operator","Service,Agriculture,Craft/Trades,Plant Operator",,
PT,2019,expost,16,0.992,1.61,,Medium,,"Clerical,Service,Plant Operator","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2019,expost,17,0.856,21.05,,,,Craft/Trades,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
PT,2019,expost,19,1.182,4.25,,,,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Manager,Professional,Technician",,
PT,2019,expost,20,1.093,2.67,,,,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",Clerical,,
PT,2019,expost,23,1.159,6.66,,,"Unknown,Low","Manager,Professional,Technician,Armed Forces","Dead/Unknown/Not Working,Professional,Technician,Agriculture,Plant Operator,Elementary",,
PT,2019,expost,24,1.258,3.78,,,"Unknown,Low","Manager,Professional,Technician,Armed Forces","Manager,Clerical,Service,Craft/Trades",,
PT,2019,expost,27,1.345,1.86,,"Low,Medium","Medium,High","Manager,Professional,Technician,Armed Forces","Dead/Unknown/Not Working,Manager,Clerical,Service,Craft/Trades,Plant Operator,Elementary",,
PT,2019,expost,28,1.581,2.22,,"Low,Medium","Medium,High","Manager,Professional,Technician,Armed Forces","Professional,Technician",,
PT,2019,expost,29,1.7,3.72,,High,"Medium,High","Manager,Professional,Technician,Armed Forces",,,
