Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
SI,2019,expost,5,0.834,11.3,Local,"Unknown,Low",,"Dead/Unknown/Not Working,Agriculture,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
SI,2019,expost,8,0.915,3.77,Local,"Medium,High","Unknown,Medium","Dead/Unknown/Not Working,Agriculture,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Craft/Trades,Plant Operator,Elementary",,
SI,2019,expost,9,0.914,1.53,Local,"Medium,High","Low,High","Dead/Unknown/Not Working,Agriculture,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Craft/Trades,Plant Operator,Elementary",,
SI,2019,expost,10,1.078,1.07,Local,"Medium,High",,"Dead/Unknown/Not Working,Agriculture,Elementary,Armed Forces",Agriculture,,
SI,2019,expost,12,0.944,27.47,Local,,,"Manager,Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
SI,2019,expost,13,1.029,7.81,Local,,,"Professional,Technician,Clerical","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
SI,2019,expost,14,0.742,6.37,Other,,,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
SI,2019,expost,17,1.064,2.25,,,,"Dead/Unknown/Not Working,Agriculture","Manager,Professional,Technician,Clerical,Armed Forces",,
SI,2019,expost,19,1.114,1.13,,,,"Technician,Clerical,Service,Craft/Trades,Plant Operator,Elementary",Manager,,
SI,2019,expost,21,1.198,7.2,,,,Technician,"Professional,Technician,Clerical",,
SI,2019,expost,24,1.11,1.54,,"Low,High",,"Clerical,Craft/Trades,Plant Operator,Elementary","Professional,Technician,Clerical",,
SI,2019,expost,25,1.081,12.36,,Medium,,"Clerical,Craft/Trades,Plant Operator,Elementary","Professional,Technician,Clerical",,
SI,2019,expost,27,0.963,1.61,,,"Low,Medium",Service,"Professional,Technician,Clerical",,
SI,2019,expost,28,1.154,1.01,,,High,Service,"Professional,Technician,Clerical",,
SI,2019,expost,30,1.086,4.49,,,"Low,Medium","Manager,Professional,Armed Forces","Manager,Professional,Technician,Clerical,Armed Forces",,
SI,2019,expost,32,1.166,1.09,,"Low,Medium",High,"Manager,Professional,Armed Forces","Manager,Professional,Technician,Clerical,Armed Forces",,
SI,2019,expost,33,1.315,8.03,,High,High,"Manager,Professional,Armed Forces","Manager,Professional,Technician,Clerical,Armed Forces",,
