Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
TIM,2007,expost,5,1.265,5.09,Urban,"Pre-School,Pre-Secondary",,,,"Tetum,Mangilih,Bahasa Indonesia,Portuguese,Inggris",
TIM,2007,expost,6,1.473,6.07,Rural,"Pre-School,Pre-Secondary",,,,"Tetum,Mangilih,Bahasa Indonesia,Portuguese,Inggris",
TIM,2007,expost,7,1.8,2.13,,"Primary,Secondary,Academy,University",,,,"Tetum,Mangilih,Bahasa Indonesia,Portuguese,Inggris",
TIM,2007,expost,10,0.977,9.81,Urban,,,,,"Bunak,Tokodete,Uaimua",
TIM,2007,expost,11,1.062,1.49,Urban,,,,,Fatalucu,
TIM,2007,expost,13,1.218,4.69,Rural,,,,,"Bunak,Tokodete,Uaimua",
TIM,2007,expost,14,1.263,2.89,Rural,,,,,Fatalucu,
TIM,2007,expost,19,0.821,8.65,Urban,,,,,Baequeno,
TIM,2007,expost,20,0.772,6.75,Urban,,,,,"Laklei,Tetum Terik,Does Not Speak Yet",
TIM,2007,expost,21,0.881,20.51,Urban,,,,,"Kaklun Bikeli,Mambae,Midiki,Naueti,Sa Ani",
TIM,2007,expost,22,0.906,12.63,Urban,,,,,"Galolen,Kemak,Macalero,Macasae",
TIM,2007,expost,24,1.106,9.4,Rural,,,,,"Baequeno,Galolen,Midiki,Tetum Terik",
TIM,2007,expost,26,1.164,4.71,Rural,,,,,"Kemak,Laklei,Macalero,Macasae,Naueti",
TIM,2007,expost,27,1.042,5.17,Rural,,,,,"Mambae,Sa Ani,Does Not Speak Yet",
