Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
TZN,2013,expost,6,0.635,7.18,"Dodoma,Ruvuma,Rukwa","No School,Some Primary,Completed Primary","No School,Some Primary",,,,
TZN,2013,expost,8,0.612,1.37,Kigoma,"No School,Some Primary,Completed Primary","No School,Some Primary",,,"Muslim,Catholic",
TZN,2013,expost,9,0.728,1.56,Kigoma,"No School,Some Primary,Completed Primary","No School,Some Primary",,,"Other Protestants,Other Christians,Agnostic/Athiest",
TZN,2013,expost,10,0.71,2.72,"Dodoma,Ruvuma,Rukwa,Kigoma","No School,Some Primary,Completed Primary","Completed Primary,More Than Secondary",,,,
TZN,2013,expost,12,0.804,19.92,"Lindi,Mtwara,Mbeya,Singida,Tabora,Mwanza,Manyara","No School,Some Primary",,,,,
TZN,2013,expost,13,1.109,7.6,"Lindi,Mtwara,Mbeya,Singida,Tabora,Mwanza,Manyara",Completed Primary,,,,,
TZN,2013,expost,16,0.984,10.97,"Arusha,Shinyanga,Kagera","No School,Some Primary,Completed Primary",,,,,
TZN,2013,expost,20,0.952,15.73,"Tanga,Morogoro,Pwani,Iringa,Mara,Unguja(North, South, West),Pemba(North, South)","No School,Some Primary",,,,Muslim,
TZN,2013,expost,22,0.952,2.63,"Tanga,Morogoro,Pwani,Iringa,Mara,Unguja(North, South, West),Pemba(North, South)","No School,Some Primary",No School,,,"Catholic,Agnostic/Athiest",
TZN,2013,expost,23,1.061,1.23,"Tanga,Morogoro,Pwani,Iringa,Mara,Unguja(North, South, West),Pemba(North, South)","No School,Some Primary","Some Primary,Completed Primary,Some Secondary",,,"Catholic,Agnostic/Athiest",
TZN,2013,expost,25,0.786,1.26,"Tanga,Morogoro,Mara","No School,Some Primary",,,,"Lutherans,Other Protestants,Other Christians",
TZN,2013,expost,26,0.741,1.23,"Pwani,Iringa","No School,Some Primary",,,,"Lutherans,Other Protestants,Other Christians",
TZN,2013,expost,27,1.125,7.3,"Tanga,Morogoro,Pwani,Iringa,Mara,Unguja(North, South, West),Pemba(North, South)",Completed Primary,,,,,
TZN,2013,expost,28,1.363,8.6,"Kilimanjaro,Dar Es Salaam","No School,Some Primary,Completed Primary",,,,,
TZN,2013,expost,30,1.626,1.44,,"Some Secondary,Completed Secondary,More Than Secondary",No School,,,,
TZN,2013,expost,32,1.828,4.74,"Dodoma,Arusha,Kilimanjaro,Pwani,Dar Es Salaam,Iringa,Mbeya,Tabora,Rukwa,Kigoma,Kagera,Mwanza,Mara,Manyara","Some Secondary,Completed Secondary,More Than Secondary","Some Primary,Completed Primary,Some Secondary,Completed Secondary,More Than Secondary",,,,
TZN,2013,expost,33,1.651,4.52,"Tanga,Morogoro,Lindi,Mtwara,Ruvuma,Singida,Shinyanga,Unguja(North, South, West),Pemba(North, South)","Some Secondary,Completed Secondary,More Than Secondary","Some Primary,Completed Primary,Some Secondary,Completed Secondary,More Than Secondary",,,,
