Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
UGA,2012,expost,5,0.615,1.01,,No Formal Education,"No Formal Education,Currently Attending School,Less Than Primary,Primary",,"Agricultural Farming And Fishery Workers,Non-Agricultural,Other Unpaid Family Work","Babwisi,Bantu,Banyarwanda,Ethur,Indian,Nilohamites",
UGA,2012,expost,6,0.685,5.82,,No Formal Education,"No Formal Education,Currently Attending School,Less Than Primary,Primary",,"Casual Labourer,Paid Employee,Unemployed","Babwisi,Bantu,Banyarwanda,Ethur,Indian,Nilohamites",
UGA,2012,expost,9,0.32,1.05,,No Formal Education,"No Formal Education,Currently Attending School,Less Than Primary,Primary","Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural",,"Niloc,Nubi",
UGA,2012,expost,10,0.317,1.67,,No Formal Education,"No Formal Education,Currently Attending School,Less Than Primary,Primary","Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural",,Nilotic,
UGA,2012,expost,11,0.588,5.06,,No Formal Education,"No Formal Education,Currently Attending School,Less Than Primary,Primary","Other Unpaid Family Work,Paid Employee,Unemployed",,"Niloc,Nilotic,Nubi",
UGA,2012,expost,17,0.657,1.45,,"Currently Attending School,Less Than Primary,Primary,Completed Post Primary Specialized Training Or Certificate,O-Level","No Formal Education,Currently Attending School,Less Than Primary",,"Agricultural Farming And Fishery Workers,Casual Labourer,Other Unpaid Family Work,Paid Employee","Babwisi,Mvuba,Nilotic,Other",
UGA,2012,expost,19,2.023,1.05,,"Currently Attending School,Completed Post Primary Specialized Training Or Certificate,O-Level","No Formal Education,Currently Attending School,Less Than Primary",,"Agricultural Farming And Fishery Workers,Casual Labourer,Other Unpaid Family Work,Paid Employee","Bantu,Banyabindi,Banyarwanda,Ik (Teuso),Indian",
UGA,2012,expost,20,0.782,4.96,,"Less Than Primary,Primary","No Formal Education,Currently Attending School,Less Than Primary",,"Agricultural Farming And Fishery Workers,Casual Labourer,Other Unpaid Family Work,Paid Employee","Bantu,Banyabindi,Banyarwanda,Ik (Teuso),Indian",
UGA,2012,expost,23,0.894,1.38,,"Currently Attending School,Less Than Primary,Primary,Completed Post Primary Specialized Training Or Certificate","No Formal Education,Currently Attending School,Less Than Primary","Agricultural Farming And Fishery Workers,Casual Labourer,Paid Employee","Non-Agricultural,Unemployed","Babwisi,Bantu,Banyabindi,Banyarwanda,Ik (Teuso),Indian,Mvuba,Nilotic,Other",
UGA,2012,expost,25,0.805,5.37,,"Currently Attending School,Less Than Primary,Primary,Completed Post Primary Specialized Training Or Certificate",No Formal Education,"Non-Agricultural,Unemployed","Non-Agricultural,Unemployed","Babwisi,Bantu,Banyabindi,Banyarwanda,Ik (Teuso),Indian,Mvuba,Nilotic,Other",
UGA,2012,expost,26,0.857,2.46,,"Currently Attending School,Less Than Primary,Primary,Completed Post Primary Specialized Training Or Certificate","Currently Attending School,Less Than Primary","Non-Agricultural,Unemployed","Non-Agricultural,Unemployed","Babwisi,Bantu,Banyabindi,Banyarwanda,Ik (Teuso),Indian,Mvuba,Nilotic,Other",
UGA,2012,expost,27,1.21,1.21,,O-Level,"No Formal Education,Currently Attending School,Less Than Primary",,"Non-Agricultural,Unemployed","Babwisi,Bantu,Banyabindi,Banyarwanda,Ik (Teuso),Indian,Mvuba,Nilotic,Other",
UGA,2012,expost,30,0.791,1.25,,"Currently Attending School,Primary,Completed Post Primary Specialized Training Or Certificate,O-Level",Primary,"Agricultural Farming And Fishery Workers,Other Unpaid Family Work",,"Babwisi,Bantu,Banyabindi,Banyarwanda,Ik (Teuso),Indian,Mvuba,Nilotic,Other",
UGA,2012,expost,32,1.079,1.18,,"Currently Attending School,Primary,Completed Post Primary Specialized Training Or Certificate,O-Level",Primary,"Casual Labourer,Non-Agricultural",,"Babwisi,Bantu,Banyabindi,Banyarwanda,Ik (Teuso),Indian,Mvuba,Nilotic,Other",
UGA,2012,expost,35,0.973,17.16,,"Currently Attending School,Primary",Primary,"Paid Employee,Unemployed",,"Babwisi,Bantu",
UGA,2012,expost,36,1.192,4.71,,"Completed Post Primary Specialized Training Or Certificate,O-Level",Primary,"Paid Employee,Unemployed",,"Babwisi,Bantu",
UGA,2012,expost,37,0.72,3.39,,"Currently Attending School,Primary,Completed Post Primary Specialized Training Or Certificate,O-Level",Primary,"Paid Employee,Unemployed",,"Banyabindi,Banyarwanda,Mvuba,Nilotic",
UGA,2012,expost,38,1.801,2.11,,Less Than Primary,Primary,,,"Babwisi,Bantu,Banyabindi,Banyarwanda,Ik (Teuso),Indian,Mvuba,Nilotic,Other",
UGA,2012,expost,40,0.621,3.81,,"Currently Attending School,Less Than Primary,Primary,Completed Post Primary Specialized Training Or Certificate,O-Level","No Formal Education,Currently Attending School,Less Than Primary,Primary",Agricultural Farming And Fishery Workers,,"Ethur,Indigenous African Pygmy,Niloc,Nilohamites,Nubi",
UGA,2012,expost,43,0.479,1.23,,"Currently Attending School,Less Than Primary,Primary,Completed Post Primary Specialized Training Or Certificate","No Formal Education,Currently Attending School,Less Than Primary,Primary","Casual Labourer,Other Unpaid Family Work,Paid Employee",,"Ethur,Indigenous African Pygmy,Niloc,Nilohamites,Nubi",
UGA,2012,expost,45,0.649,8.62,,"Currently Attending School,Less Than Primary,Primary,Completed Post Primary Specialized Training Or Certificate","No Formal Education,Currently Attending School,Less Than Primary,Primary","Non-Agricultural,Unemployed",,"Ethur,Nubi",
UGA,2012,expost,46,0.595,4.86,,"Currently Attending School,Less Than Primary,Primary,Completed Post Primary Specialized Training Or Certificate","No Formal Education,Currently Attending School,Less Than Primary,Primary","Non-Agricultural,Unemployed",,"Niloc,Nilohamites",
UGA,2012,expost,47,0.828,2.08,,O-Level,"No Formal Education,Currently Attending School,Less Than Primary,Primary","Casual Labourer,Non-Agricultural,Other Unpaid Family Work,Paid Employee,Unemployed",,"Ethur,Indigenous African Pygmy,Niloc,Nilohamites,Nubi",
UGA,2012,expost,48,1.611,3.51,,"A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University","No Formal Education,Currently Attending School,Less Than Primary,Primary",,,,
UGA,2012,expost,51,1.113,1.0,,"No Formal Education,Primary,O-Level,A-Level","Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University",,,"Babwisi,Niloc,Nilohamites,Nilotic",
UGA,2012,expost,53,1.313,1.13,,"No Formal Education,A-Level","Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University",,,"Bantu,Banyarwanda,Nubi",
UGA,2012,expost,55,1.276,1.03,,"Primary,O-Level","Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University","Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural,Paid Employee",,"Bantu,Banyarwanda,Nubi",
