Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ZAF,2008,expost,6,0.445,27.65,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education","1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,9 Grade/Years Of Education,11 Grade/Years Of Education","Military,Managers,Professionals,Clerical Support,Farm, Forest, Fishery,Craft,Operators,Elementary",,African,
ZAF,2008,expost,7,0.592,5.51,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education","1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education,9 Grade/Years Of Education,11 Grade/Years Of Education","Military,Managers,Professionals,Clerical Support,Farm, Forest, Fishery,Craft,Operators,Elementary",,Coloured,
ZAF,2008,expost,8,0.561,3.98,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education,4 Grade/Years Of Education,5 Grade/Years Of Education","6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,10 Grade/Years Of Education,12 Grade/Years Of Education","Military,Managers,Professionals,Clerical Support,Farm, Forest, Fishery,Craft,Operators,Elementary",,"African,Coloured",
ZAF,2008,expost,12,0.292,20.58,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education","2 Grade/Years Of Education,4 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education","Technicians And Professionals,Service And Sales,Others",,"African,Coloured",Female
ZAF,2008,expost,13,0.767,1.07,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education","1 Grade/Years Of Education,3 Grade/Years Of Education,5 Grade/Years Of Education,6 Grade/Years Of Education,10 Grade/Years Of Education,12 Grade/Years Of Education","Technicians And Professionals,Service And Sales,Others",,"African,Coloured",Female
ZAF,2008,expost,15,0.527,1.56,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education",,"Technicians And Professionals,Service And Sales",,"African,Coloured",Male
ZAF,2008,expost,16,0.488,9.05,,"1 Grade/Years Of Education,2 Grade/Years Of Education,3 Grade/Years Of Education",,Others,,"African,Coloured",Male
ZAF,2008,expost,17,1.038,1.49,,"4 Grade/Years Of Education,5 Grade/Years Of Education",,"Technicians And Professionals,Service And Sales,Others",,"African,Coloured",
ZAF,2008,expost,20,0.914,7.03,,"6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Military,Managers,Professionals,Technicians And Professionals,Clerical Support,Service And Sales,Farm, Forest, Fishery,Craft",,African,
ZAF,2008,expost,21,1.628,2.37,,"6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Military,Managers,Professionals,Technicians And Professionals,Clerical Support,Service And Sales,Farm, Forest, Fishery,Craft",,Coloured,
ZAF,2008,expost,23,0.679,1.01,,"6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Operators,Elementary,Others","Managers,Technicians And Professionals,Clerical Support,Service And Sales,Farm, Forest, Fishery,Operators","African,Coloured",
ZAF,2008,expost,24,0.649,8.45,,"6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,"Operators,Elementary,Others","Professionals,Craft,Elementary,Others","African,Coloured",
ZAF,2008,expost,26,1.109,1.01,,"3 Grade/Years Of Education,5 Grade/Years Of Education",,,,"Asian/Indian,White",
ZAF,2008,expost,27,3.136,9.24,,"2 Grade/Years Of Education,4 Grade/Years Of Education,6 Grade/Years Of Education,7 Grade/Years Of Education,8 Grade/Years Of Education,9 Grade/Years Of Education,10 Grade/Years Of Education,11 Grade/Years Of Education,12 Grade/Years Of Education",,,,"Asian/Indian,White",
