Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ind,2005,expost,7,1.253,1.66,,"None,Incomplete Primary",None,"Professionals And Technicians,Administratives And Managers,Clerks And Related,Services Workers",,"Forward Caste,Christian, Sikh, Jain",
ind,2005,expost,8,1.069,2.18,,"None,Incomplete Primary",None,"Sales Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Forward Caste,Christian, Sikh, Jain",
ind,2005,expost,9,1.607,1.25,,"None,Incomplete Primary","Incomplete Primary,Complete Primary,Incomplete Secondary,Complete Secondary,Higher Secondary,Post-Secondary Or Higher","Professionals And Technicians,Administratives And Managers,Clerks And Related,Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Forward Caste,Christian, Sikh, Jain",
ind,2005,expost,13,0.831,4.06,,"None,Incomplete Primary",None,"Professionals And Technicians,Administratives And Managers,Services Workers,Unemployed",,"Other Backward Castes (Obc),Dalit,Adivasi,Muslim",
ind,2005,expost,16,0.701,1.18,,"None,Incomplete Primary",None,"Sales Workers,Production And Related Workers, Transport Opperators And Labourers",,"Other Backward Castes (Obc),Muslim",Female
ind,2005,expost,17,0.832,5.73,,"None,Incomplete Primary",None,"Sales Workers,Production And Related Workers, Transport Opperators And Labourers",,"Other Backward Castes (Obc),Muslim",Male
ind,2005,expost,18,0.683,4.06,,"None,Incomplete Primary",None,"Sales Workers,Production And Related Workers, Transport Opperators And Labourers",,"Dalit,Adivasi",
ind,2005,expost,19,1.302,1.01,,"None,Incomplete Primary",None,Clerks And Related,,"Other Backward Castes (Obc),Dalit,Adivasi,Muslim",
ind,2005,expost,21,1.35,1.05,,"None,Incomplete Primary","Incomplete Primary,Complete Primary,Incomplete Secondary,Complete Secondary,Higher Secondary,Post-Secondary Or Higher","Professionals And Technicians,Administratives And Managers,Clerks And Related,Sales Workers,Services Workers,Unemployed",,"Other Backward Castes (Obc),Dalit,Adivasi,Muslim",
ind,2005,expost,22,1.078,1.06,,"None,Incomplete Primary","Incomplete Primary,Complete Primary,Incomplete Secondary,Complete Secondary,Higher Secondary,Post-Secondary Or Higher","Production And Related Workers, Transport Opperators And Labourers",,"Other Backward Castes (Obc),Dalit,Adivasi,Muslim",
ind,2005,expost,25,1.718,1.79,,"Complete Primary,Incomplete Secondary",,"Professionals And Technicians,Administratives And Managers",,,
ind,2005,expost,26,1.62,2.12,,"Complete Primary,Incomplete Secondary",,Clerks And Related,,,
ind,2005,expost,29,1.381,2.0,,"Complete Primary,Incomplete Secondary","None,Complete Primary","Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Forward Caste,Adivasi,Christian, Sikh, Jain",
ind,2005,expost,30,1.836,1.19,,"Complete Primary,Incomplete Secondary","Incomplete Primary,Incomplete Secondary,Complete Secondary,Higher Secondary,Post-Secondary Or Higher","Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Forward Caste,Adivasi,Christian, Sikh, Jain",
ind,2005,expost,33,1.03,3.17,,"Complete Primary,Incomplete Secondary","None,Incomplete Primary,Post-Secondary Or Higher","Sales Workers,Production And Related Workers, Transport Opperators And Labourers",,"Other Backward Castes (Obc),Dalit,Muslim",
ind,2005,expost,34,1.372,1.28,,"Complete Primary,Incomplete Secondary","Complete Primary,Incomplete Secondary,Complete Secondary,Higher Secondary","Sales Workers,Production And Related Workers, Transport Opperators And Labourers",,"Other Backward Castes (Obc),Dalit,Muslim",
ind,2005,expost,35,1.144,1.17,,"Complete Primary,Incomplete Secondary",,"Services Workers,Unemployed",,"Other Backward Castes (Obc),Dalit,Muslim",
ind,2005,expost,39,0.89,9.16,,"None,Incomplete Primary","None,Incomplete Primary,Post-Secondary Or Higher","Agricultural, Forestry And Fishery Workers",,"Forward Caste,Christian, Sikh, Jain",
