,c,y,Circumstances,OLS,Ctree,Trafo
1,ARG,2014,Ethnicity,1.259041048,0.102093612,2.3365754
2,ARG,2014,Sex,2.031239266,2.532003633,3.284289532
3,ARG,2014,Father_Occ,17.5478811,18.82475624,19.0196121
4,ARG,2014,Father_Edu,23.18947044,23.07503953,19.99183608
5,ARG,2014,Mother_Edu,22.45361096,21.7241743,21.62582596
6,ARG,2014,Birth_Area,33.51875719,33.74193267,33.74186094
7,ARM,2016,Father_Occ,21.91771159,14.91145657,5.635584589
8,ARM,2016,Mother_Occ,25.06805745,17.43124675,8.027603413
9,ARM,2016,Sex,6.100033009,6.064716617,9.314067318
10,ARM,2016,Mother_Edu,18.6151751,18.31827569,16.00769983
11,ARM,2016,Father_Edu,16.23085537,21.19130747,16.16850781
12,ARM,2016,Birth_Area,10.77228508,22.88686721,18.04460101
13,ARM,2016,Ethnicity,1.295882395,0,26.80193603
14,AT,2011,Sex,1.872734991,2.93475509,4.278407047
15,AT,2005,Sex,5.479698771,5.310106383,5.456189301
16,AT,2019,Sex,1.351105154,3.008337458,9.358576397
17,AT,2019,Father_Edu,13.9750315,13.83473134,12.40614101
18,AT,2011,Mother_Occ,12.44244143,13.75383694,12.4114196
19,AT,2005,Birth_Area,14.30879805,13.87212042,12.99611473
20,AT,2019,Father_Occ,19.18515571,20.33869763,14.78657705
21,AT,2011,Father_Edu,14.23453698,14.29324985,14.89936647
22,AT,2005,Mother_Edu,13.06962622,14.83831992,15.65726488
23,AT,2005,Father_Edu,15.66844492,15.23966433,15.74902868
24,AT,2019,Mother_Occ,18.33516566,19.66120115,17.03055498
25,AT,2011,Mother_Edu,21.238339,19.533261,17.54173764
26,AT,2019,Mother_Edu,22.19160201,19.14630381,17.84930368
27,AT,2005,Father_Occ,20.59071079,21.60171642,20.153691
28,AT,2011,Father_Occ,22.0978134,23.29373959,20.63022341
29,AT,2019,Birth_Area,24.96193996,24.0107286,28.56884688
30,AT,2005,Mother_Occ,30.88272125,29.13807253,29.98771139
31,AT,2011,Birth_Area,28.11413419,26.19115752,30.23884583
32,AUS,2011,Ethnicity,2.286085541,0,1.694337158
33,AUS,2007,Ethnicity,2.214319821,0,1.815666587
34,AUS,2005,Ethnicity,0.549294751,0,2.827459947
35,AUS,2009,Ethnicity,2.120868229,0,4.149006685
36,AUS,2015,Ethnicity,2.957725198,0,5.432054833
37,AUS,2011,Sex,7.073451237,9.080494363,6.75140481
38,AUS,2019,Ethnicity,2.479341516,0,7.086745155
39,AUS,2017,Ethnicity,2.780628394,0,7.642310048
40,AUS,2013,Ethnicity,3.403988,0.2910392,7.966615458
41,AUS,2013,Sex,5.721335911,9.959627757,8.554456755
42,AUS,2019,Sex,8.07091887,13.9163942,8.692099849
43,AUS,2005,Sex,4.378985601,8.90809837,8.824449526
44,AUS,2017,Sex,7.252403431,9.369050976,9.018220923
45,AUS,2015,Sex,5.257521408,9.500402644,10.75147331
46,AUS,2007,Sex,6.037877603,11.32427003,10.88754446
47,AUS,2015,Mother_Edu,14.45670625,14.26745792,13.63105185
48,AUS,2009,Sex,6.975993414,10.51560862,14.05147479
49,AUS,2017,Mother_Edu,15.29073589,14.59450419,15.60101021
50,AUS,2009,Mother_Occ,20.17097073,22.64827408,16.0789831
51,AUS,2019,Mother_Edu,16.61457123,15.68541367,16.70582166
52,AUS,2005,Mother_Edu,16.46701454,15.73917178,17.42559091
53,AUS,2013,Father_Occ,26.14296437,25.46421121,18.3567104
54,AUS,2007,Mother_Edu,14.78996629,11.12047288,18.50792188
55,AUS,2009,Mother_Edu,13.0448999,9.719190632,19.12024556
56,AUS,2007,Mother_Occ,22.99833804,26.31791727,19.23367211
57,AUS,2007,Father_Edu,22.48969962,23.05716292,19.6503065
58,AUS,2009,Father_Occ,26.2203001,27.52845237,19.69323704
59,AUS,2017,Father_Edu,24.39722513,22.9882638,20.47065556
60,AUS,2013,Mother_Occ,20.32890399,23.86149022,20.5317232
61,AUS,2019,Mother_Occ,17.6738452,19.05760706,20.79099255
62,AUS,2011,Father_Occ,24.07876568,25.22663334,21.39701366
63,AUS,2005,Mother_Occ,22.63808036,23.18857512,21.54759119
64,AUS,2013,Father_Edu,26.26710801,24.34927487,21.85436612
65,AUS,2019,Father_Edu,23.85583755,21.72495674,21.87428068
66,AUS,2017,Mother_Occ,22.07986803,24.45979947,22.14333152
67,AUS,2011,Mother_Edu,16.59273052,16.35253945,22.30614941
68,AUS,2005,Father_Edu,25.37875959,24.66078922,22.72317971
69,AUS,2013,Mother_Edu,18.13569972,16.07435674,22.73612807
70,AUS,2015,Father_Edu,25.75804856,24.69539135,22.80882187
71,AUS,2011,Mother_Occ,24.42996239,25.90200686,23.11584845
72,AUS,2015,Father_Occ,26.62047214,25.77738745,23.43296698
73,AUS,2015,Mother_Occ,24.94952645,26.0439662,23.94363115
74,AUS,2011,Father_Edu,25.53900464,24.34707714,24.73524652
75,AUS,2019,Father_Occ,31.30548564,29.79610811,24.85006011
76,AUS,2017,Father_Occ,28.19913913,28.81434381,25.12447175
77,AUS,2005,Father_Occ,30.58786516,29.2540972,26.65172872
78,AUS,2009,Father_Edu,31.46696763,30.69717924,26.90705283
79,AUS,2007,Father_Occ,31.46979863,29.52044387,29.90488846
80,BE,2019,Sex,2.751733345,3.979538043,3.972090202
81,BE,2005,Sex,3.368522985,5.501104262,7.33773286
82,BE,2005,Birth_Area,6.059143158,5.538656602,7.434620897
83,BE,2011,Father_Occ,27.35631348,29.34220157,12.51444516
84,BE,2011,Sex,0.772849698,2.369208476,12.91226279
85,BE,2011,Mother_Edu,22.90229397,21.1235483,16.15696283
86,BE,2011,Father_Edu,23.91812298,23.34517431,16.61693946
87,BE,2019,Father_Occ,19.58404962,20.36291674,17.53715191
88,BE,2011,Birth_Area,15.57269696,15.01748417,18.19577818
89,BE,2019,Father_Edu,20.33798005,19.33538776,18.27706437
90,BE,2005,Mother_Occ,23.10443326,22.97545977,18.93661495
91,BE,2019,Mother_Occ,17.6172746,18.10806148,19.23459813
92,BE,2005,Mother_Edu,23.28756447,21.33567426,19.68403695
