Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ARG,2014,exante,5,0.697,2.2,"Gran Buenos Aires,Patagonia","1 Years Of Education,2 Years Of Education,4 Years Of Education,8 Years Of Education,11 Years Of Education",,"Armed Forces,Clerks,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations",,,
ARG,2014,exante,6,1.111,10.86,"Gran Buenos Aires,Patagonia","3 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,9 Years Of Education",,"Armed Forces,Clerks,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations",,,
ARG,2014,exante,7,1.294,4.4,"Gran Buenos Aires,Patagonia","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,11 Years Of Education",,"Managers,Professionals,Technicians And Associate Professionals,Unemployed",,,
ARG,2014,exante,9,1.55,7.1,Gran Buenos Aires,"10 Years Of Education,12 Years Of Education,13 Years Of Education,15 Years Of Education",,,,,
ARG,2014,exante,10,1.931,1.3,Patagonia,"10 Years Of Education,12 Years Of Education,13 Years Of Education,15 Years Of Education",,,,,
ARG,2014,exante,14,0.982,8.11,"Pampeana,Other Country",,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education","Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Craft And Trade Workers",,,
ARG,2014,exante,15,0.813,19.9,"Pampeana,Other Country",,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education","Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,,
ARG,2014,exante,17,0.587,15.92,"Cuyo,Noa,Nea",,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,9 Years Of Education",,,,
ARG,2014,exante,18,0.726,15.79,"Cuyo,Noa,Nea",,"7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,
ARG,2014,exante,20,1.306,6.35,Pampeana,,"10 Years Of Education,11 Years Of Education,12 Years Of Education,15 Years Of Education",,,,
ARG,2014,exante,21,0.972,8.07,"Cuyo,Noa,Nea,Other Country",,"10 Years Of Education,11 Years Of Education,12 Years Of Education,15 Years Of Education",,,,
