Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BE,2005,exante,4,0.639,5.11,,,Unknown,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary",,,
BE,2005,exante,8,0.726,5.11,Local,,"Low,Medium","Dead/Unknown/Not Working,Elementary",,,
BE,2005,exante,9,0.875,12.74,Local,,"Low,Medium","Agriculture,Craft/Trades",,,
BE,2005,exante,10,0.948,14.0,Local,,High,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary",,,
BE,2005,exante,11,0.79,3.23,"European Union,Other",,"Low,Medium,High","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary",,,
BE,2005,exante,13,0.876,8.51,,,"Unknown,Low,Medium,High","Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces","Dead/Unknown/Not Working,Plant Operator,Elementary,Armed Forces",,
BE,2005,exante,15,1.113,20.16,,,"Unknown,Low,Medium,High","Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces","Manager,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades",,Male
BE,2005,exante,16,1.015,20.54,,,"Unknown,Low,Medium,High","Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces","Manager,Professional,Technician,Clerical,Service,Agriculture,Craft/Trades",,Female
BE,2005,exante,18,1.635,5.07,,,,,"Manager,Professional",,
BE,2005,exante,20,0.918,2.35,,"Unknown,Low,Medium,High",,,"Technician,Clerical,Service,Craft/Trades,Elementary",,
BE,2005,exante,21,1.417,3.19,,,,,"Technician,Clerical,Service,Craft/Trades,Elementary",,
