Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHL,2013,exante,7,0.627,5.81,"Tarapca,Valparaiso,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Female
CHL,2013,exante,8,0.73,2.65,"Antofagasta,Atacama,Coquimbo,Metropolitana De Santiago","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Female
CHL,2013,exante,11,0.697,2.6,"Tarapca,Valparaiso,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,8 Years Of Education,9 Years Of Education",,,,Male
CHL,2013,exante,12,0.936,1.1,"Antofagasta,Atacama,Coquimbo,Metropolitana De Santiago","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,8 Years Of Education,9 Years Of Education",,,,Male
CHL,2013,exante,13,0.866,1.68,"Tarapca,Antofagasta,Atacama,Coquimbo,Valparaiso,Metropolitana De Santiago,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Male
CHL,2013,exante,17,0.551,8.7,"Libertador,Maule,Biobio,Los Lagos,Magallanes","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,8 Years Of Education,9 Years Of Education",,,,Female
CHL,2013,exante,18,0.502,5.22,"Araucania,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,8 Years Of Education,9 Years Of Education",,,,Female
CHL,2013,exante,21,0.609,1.67,"Libertador,Maule,Magallanes","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,,Male
CHL,2013,exante,22,0.538,4.29,"Biobio,Araucania,Los Lagos,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,,Male
CHL,2013,exante,23,0.627,3.8,"Libertador,Maule,Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,8 Years Of Education,9 Years Of Education",,,,Male
CHL,2013,exante,26,0.646,3.43,"Libertador,Maule,Biobio,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Female
CHL,2013,exante,27,0.519,2.16,"Araucania,Los Lagos","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Female
CHL,2013,exante,28,0.757,3.51,"Libertador,Maule,Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Male
CHL,2013,exante,33,0.552,1.48,"Tarapca,Valparaiso,Libertador,Maule,Biobio,Araucania,Los Lagos,Los Rios","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education","1 Years Of Education,3 Years Of Education",,,,Female
CHL,2013,exante,34,0.659,2.12,"Tarapca,Valparaiso,Libertador,Maule,Biobio,Araucania,Los Lagos,Los Rios","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education","2 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Female
CHL,2013,exante,36,0.733,1.25,"Antofagasta,Atacama,Coquimbo,Magallanes,Metropolitana De Santiago,Arica And Perinacota","6 Years Of Education,10 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Female
CHL,2013,exante,37,0.68,1.15,"Antofagasta,Atacama,Coquimbo,Magallanes,Metropolitana De Santiago,Arica And Perinacota","8 Years Of Education,9 Years Of Education,12 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Female
CHL,2013,exante,40,0.722,3.84,"Tarapca,Libertador,Maule,Biobio,Araucania","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Female
CHL,2013,exante,41,0.934,1.16,"Tarapca,Libertador,Maule,Biobio,Araucania","11 Years Of Education,12 Years Of Education","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Female
CHL,2013,exante,42,0.894,8.76,"Antofagasta,Atacama,Coquimbo,Valparaiso,Los Lagos,Magallanes,Metropolitana De Santiago,Los Rios,Arica And Perinacota","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Female
CHL,2013,exante,44,1.071,7.11,"Tarapca,Antofagasta,Atacama,Coquimbo,Libertador,Magallanes,Metropolitana De Santiago,Los Rios,Arica And Perinacota","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Male
CHL,2013,exante,46,0.715,1.36,"Valparaiso,Maule,Biobio,Araucania,Los Lagos","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education","2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education",,,,Male
CHL,2013,exante,47,0.99,3.52,"Valparaiso,Maule,Biobio,Araucania,Los Lagos","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education","1 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,Male
CHL,2013,exante,50,0.99,2.04,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education","12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education",,,,Female
CHL,2013,exante,51,1.369,6.76,,"10 Years Of Education,11 Years Of Education,12 Years Of Education","12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education",,,,Female
CHL,2013,exante,52,1.524,6.11,,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education","12 Years Of Education,13 Years Of Education,14 Years Of Education,15 Years Of Education",,,,Male
CHL,2013,exante,56,1.503,1.08,,"13 Years Of Education,14 Years Of Education,15 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,14 Years Of Education",,,,Female
CHL,2013,exante,57,1.828,1.35,,"13 Years Of Education,14 Years Of Education,15 Years Of Education","11 Years Of Education,12 Years Of Education,13 Years Of Education",,,,Female
CHL,2013,exante,58,2.45,1.68,,"13 Years Of Education,14 Years Of Education,15 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education",,,,Male
CHL,2013,exante,60,2.477,1.47,,"13 Years Of Education,14 Years Of Education,15 Years Of Education",15 Years Of Education,,,,Female
CHL,2013,exante,61,2.926,1.15,,"13 Years Of Education,14 Years Of Education,15 Years Of Education",15 Years Of Education,,,,Male
