Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CY,2005,exante,8,0.804,23.86,"Local,European Union","Unknown,Low","Unknown,Low",,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary",,
CY,2005,exante,9,0.603,1.28,Other,"Unknown,Low","Unknown,Low",,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary",,
CY,2005,exante,10,0.887,11.63,,Medium,"Unknown,Low",,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary",,
CY,2005,exante,11,1.05,2.52,,"Unknown,Low,Medium","Unknown,Low",,"Technician,Clerical,Service,Craft/Trades",,
CY,2005,exante,12,0.922,25.03,,"Unknown,Low,Medium",Medium,,,,
CY,2005,exante,13,1.02,8.55,,High,"Unknown,Low,Medium",,,,
CY,2005,exante,17,1.127,8.37,Local,"Unknown,Low,Medium,High",High,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Plant Operator,Elementary",,
CY,2005,exante,19,1.388,2.04,Local,"Unknown,Low,Medium,High",High,"Manager,Professional,Clerical,Armed Forces","Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Plant Operator,Elementary",,
CY,2005,exante,20,1.252,1.94,Local,"Unknown,Low,Medium,High",High,Technician,"Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Plant Operator,Elementary",,
CY,2005,exante,21,1.79,1.33,Local,"Unknown,Low,Medium,High",High,,"Manager,Professional,Craft/Trades",,
CY,2005,exante,22,0.832,4.42,"European Union,Other","Unknown,Low,Medium,High",High,,,,
CY,2005,exante,25,1.189,1.18,,,,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,,
CY,2005,exante,26,2.163,2.55,,,,"Manager,Professional,Technician,Armed Forces",,,
CY,2005,exante,27,1.278,5.29,,,,,,,
