Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GHA,2013,exante,6,1.217,10.15,"Africa Other Than Ecowas,Ashanti,Brongahafo,Central,Eastern,Volta,Western","No School,Primary School,Middle School",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service"," Sales,Administrative,Clerical,Production,Professional,Service",,
GHA,2013,exante,7,1.016,4.55,"Africa Other Than Ecowas,Ashanti,Brongahafo,Central,Eastern,Volta,Western","No School,Primary School,Middle School",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service","Agri,Fish,Hunt,Homeworker",,
GHA,2013,exante,8,1.527,2.55,"Greater Accra,Outside Africa","No School,Primary School,Middle School",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,,
GHA,2013,exante,11,1.066,6.71,"Africa Other Than Ecowas,Ashanti,Greater Accra","No School,Primary School,Middle School",,"Agri,Fish,Hunt",,"Akan,Ewe,Ga-Dangme,Guan,Mande",
GHA,2013,exante,13,1.042,5.63,"Brongahafo,Central,Eastern,Volta,Western","No School,Primary School,Middle School",,"Agri,Fish,Hunt"," Sales,Administrative,Homeworker,Production,Professional","Akan,Ewe,Ga-Dangme,Guan,Mande",
GHA,2013,exante,15,0.946,13.53,"Brongahafo,Central,Eastern,Volta,Western","No School,Primary School,Middle School",,"Agri,Fish,Hunt","Agri,Fish,Hunt,Clerical,Service",Akan,
GHA,2013,exante,16,0.824,7.84,"Brongahafo,Central,Eastern,Volta,Western","No School,Primary School,Middle School",,"Agri,Fish,Hunt","Agri,Fish,Hunt,Clerical,Service","Ewe,Ga-Dangme,Guan,Mande",
GHA,2013,exante,18,0.669,3.7,"Africa Other Than Ecowas,Ashanti,Brongahafo,Volta","No School,Primary School,Middle School",,"Agri,Fish,Hunt",,"All Other Tribes,Grusi,Gurma,Mole-Dagbanii",
GHA,2013,exante,19,0.831,1.16,"Central,Eastern,Greater Accra,Western","No School,Primary School,Middle School",,"Agri,Fish,Hunt",,"All Other Tribes,Grusi,Gurma,Mole-Dagbanii",
GHA,2013,exante,23,1.44,2.37,"Africa Other Than Ecowas,Brongahafo,Central,Eastern,Outside Africa,Volta,Western","Secondary School,Theacher, Nursing Trean,First Degree,Post Graduate","No School,Primary School,Middle School",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2013,exante,24,1.75,1.64,"Ashanti,Greater Accra","Secondary School,Theacher, Nursing Trean,First Degree,Post Graduate","No School,Primary School,Middle School",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2013,exante,25,1.112,1.37,"Africa Other Than Ecowas,Ashanti,Brongahafo,Central,Eastern,Greater Accra,Outside Africa,Volta,Western","Secondary School,Theacher, Nursing Trean,First Degree,Post Graduate","No School,Primary School,Middle School",,"Agri,Fish,Hunt",,
GHA,2013,exante,26,2.302,1.33,"Africa Other Than Ecowas,Ashanti,Brongahafo,Central,Eastern,Greater Accra,Outside Africa,Volta,Western","Secondary School,Theacher, Nursing Trean,First Degree,Post Graduate","Secondary School,Theacher, Nursing Trean,First Degree,Post Graduate",,,,
GHA,2013,exante,30,0.941,1.97,"Northern,Other Ecowas,Upper East,Upper West","No School,Primary School",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service"," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2013,exante,32,0.718,2.63,"Northern,Other Ecowas,Upper East,Upper West","No School,Primary School",,"Agri,Fish,Hunt"," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,Female
GHA,2013,exante,33,0.878,1.9,"Northern,Other Ecowas,Upper East,Upper West","No School,Primary School",,"Agri,Fish,Hunt"," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,Male
GHA,2013,exante,34,1.235,1.37,"Northern,Other Ecowas,Upper East,Upper West","Middle School,Secondary School,Theacher, Nursing Trean,First Degree,Post Graduate",,," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2013,exante,39,0.564,7.05,"Northern,Other Ecowas,Upper East",,,,"Agri,Fish,Hunt","Akan,Ewe,Ga-Dangme,Mande,Mole-Dagbanii",Female
GHA,2013,exante,40,0.474,2.24,"Northern,Other Ecowas,Upper East",,,,"Agri,Fish,Hunt",Gurma,Female
GHA,2013,exante,41,0.635,6.49,"Northern,Other Ecowas,Upper East",,,,"Agri,Fish,Hunt","Akan,Ewe,Ga-Dangme,Gurma,Mande,Mole-Dagbanii",Male
GHA,2013,exante,43,0.504,1.96,"Northern,Other Ecowas",,,,"Agri,Fish,Hunt","All Other Tribes,Grusi,Guan",
GHA,2013,exante,44,0.499,1.43,Upper East,,,,"Agri,Fish,Hunt","All Other Tribes,Grusi,Guan",
GHA,2013,exante,46,0.488,7.07,Upper West,,,,"Agri,Fish,Hunt","Akan,All Other Tribes,Gurma,Mande,Mole-Dagbanii",
GHA,2013,exante,47,0.384,3.35,Upper West,,,,"Agri,Fish,Hunt","Grusi,Guan",
