Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IDN,2000,exante,6,0.746,24.39,"Village,Don't Know,Missing","University S2,University S3","Elementary,Adult Education (A),University S2,University S3,Islamic Elementary School,Madrasah Tsanawiyah","Working/Trying To Get Work/Helping To Earn Income,Attending School,Sick/Disabled,Don't Know'",,"Islam,Hinduism",
IDN,2000,exante,7,0.884,28.35,"Village,Don't Know,Missing","Elementary,Jr High - General,Jr High - Vocational,Sr High - General,Sr High - Vocational,Adult Education (A),Adult Education (B),Open University,Islamic School (Pesantren),College D1-D3,University S1,Islamic Elementary School,Madrasah Tsanawiyah","Elementary,Adult Education (A),University S2,University S3,Islamic Elementary School,Madrasah Tsanawiyah","Working/Trying To Get Work/Helping To Earn Income,Attending School,Sick/Disabled,Don't Know'",,"Islam,Hinduism",
IDN,2000,exante,8,0.996,3.15,"Village,Don't Know,Missing",,"Elementary,Adult Education (A),University S2,University S3,Islamic Elementary School,Madrasah Tsanawiyah","Working/Trying To Get Work/Helping To Earn Income,Attending School,Sick/Disabled,Don't Know'",,"Protestant,Catholic,Buddhism",
IDN,2000,exante,10,0.945,4.7,"Village,Don't Know,Missing",,"Elementary,Adult Education (A),University S2,University S3,Islamic Elementary School,Madrasah Tsanawiyah","Job Searching,Housekeeping,Stay At Home/Unemployed",,,
IDN,2000,exante,12,0.893,9.12,"Village,Don't Know,Missing","Elementary,Jr High - Vocational,Islamic Elementary School,Madrasah Tsanawiyah","Elementary,Adult Education (A),University S2,University S3,Islamic Elementary School,Madrasah Tsanawiyah",Retired,,,
IDN,2000,exante,13,1.213,1.04,"Village,Don't Know,Missing","Jr High - General,Sr High - General,Sr High - Vocational,Islamic School (Pesantren),College D1-D3,University S1","Elementary,Adult Education (A),University S2,University S3,Islamic Elementary School,Madrasah Tsanawiyah",Retired,,,
IDN,2000,exante,15,1.061,18.05,"Small Town,Big City",,"Elementary,Adult Education (A),University S2,University S3,Islamic Elementary School,Madrasah Tsanawiyah",,,Islam,
IDN,2000,exante,16,1.672,2.15,"Small Town,Big City",,"Elementary,Adult Education (A),University S2,University S3,Islamic Elementary School,Madrasah Tsanawiyah",,,"Protestant,Catholic,Hinduism,Buddhism",
IDN,2000,exante,19,1.393,2.87,Village,,"Jr High - General,Jr High - Vocational,Sr High - Vocational,Open University,Islamic School (Pesantren),Madrasah Aliyah",,,,
IDN,2000,exante,20,1.805,3.98,"Small Town,Big City,Don't Know,Missing",,"Jr High - General,Jr High - Vocational,Sr High - Vocational,Open University,Islamic School (Pesantren),Madrasah Aliyah",,,,
IDN,2000,exante,21,2.939,2.18,,,"Sr High - General,College D1-D3,University S1",,,,
