Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IT,2011,exante,9,1.036,3.19,Local,"Unknown,Low,Medium",Unknown,"Dead/Unknown/Not Working,Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Professional,Agriculture,Elementary,Armed Forces",,
IT,2011,exante,11,0.85,3.05,Local,"Unknown,Low",Medium,"Dead/Unknown/Not Working,Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Professional,Agriculture,Elementary,Armed Forces",,
IT,2011,exante,13,0.818,3.01,Local,Medium,Medium,Dead/Unknown/Not Working,"Dead/Unknown/Not Working,Professional,Agriculture,Elementary,Armed Forces",,
IT,2011,exante,14,0.918,23.54,Local,Medium,Medium,"Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Professional,Agriculture,Elementary,Armed Forces",,
IT,2011,exante,15,1.037,7.05,Local,"Unknown,Low,Medium","Unknown,Medium","Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Professional,Agriculture,Elementary,Armed Forces",,
IT,2011,exante,16,0.688,1.26,Local,"Unknown,Low,Medium",Low,"Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces","Dead/Unknown/Not Working,Professional,Agriculture,Elementary,Armed Forces",,
IT,2011,exante,17,1.12,9.48,Local,"Unknown,Low,Medium","Unknown,Low,Medium","Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces","Manager,Technician,Clerical,Service,Craft/Trades,Plant Operator",,
IT,2011,exante,18,0.734,4.92,"European Union,Other","Unknown,Low,Medium","Unknown,Low,Medium","Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces",,,
IT,2011,exante,20,0.63,1.9,,"Unknown,Low,Medium","Unknown,Low","Agriculture,Elementary",,,
IT,2011,exante,24,0.87,5.5,Local,"Unknown,Low,Medium",Medium,Agriculture,"Dead/Unknown/Not Working,Clerical,Elementary",,
IT,2011,exante,25,0.805,8.02,Local,"Unknown,Low,Medium",Medium,Elementary,"Dead/Unknown/Not Working,Clerical,Elementary",,
IT,2011,exante,26,0.675,1.04,"European Union,Other","Unknown,Low,Medium",Medium,"Agriculture,Elementary","Dead/Unknown/Not Working,Clerical,Elementary",,
IT,2011,exante,27,0.967,3.57,,"Unknown,Low,Medium",Medium,"Agriculture,Elementary","Manager,Professional,Technician,Service,Agriculture,Craft/Trades,Plant Operator",,
IT,2011,exante,28,1.192,5.02,,"Unknown,Low,Medium",High,,,,
IT,2011,exante,31,1.131,6.97,,High,"Unknown,Low,Medium",,"Dead/Unknown/Not Working,Professional,Agriculture,Plant Operator,Elementary",,
IT,2011,exante,32,1.31,1.5,,High,"Unknown,Low,Medium",,"Manager,Technician,Clerical,Service,Craft/Trades",,
IT,2011,exante,35,1.505,6.65,Local,High,High,,,,
IT,2011,exante,36,1.729,3.14,Local,,High,,,,
IT,2011,exante,37,0.842,1.17,"European Union,Other",High,High,,,,
